"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PARURO (000)",10652,10342,2475,886,963,951,1860,1522,1685,310
"Católica (001)",8915,8644,2015,735,818,802,1543,1312,1419,271
"Cristiana/Evangélica (002)",1492,1465,392,125,129,133,278,177,231,27
"Otra (003)",172,167,43,18,11,13,31,27,24,5
"Ninguna (004)",73,66,25,8,5,3,8,6,11,7
,,,,,,,,,,
"URBANA (006)",3897,3762,963,351,401,385,682,511,469,135
"Católica (007)",3521,3402,862,312,373,350,612,466,427,119
"Cristiana/Evangélica (008)",307,298,84,31,24,31,57,35,36,9
"Otra (009)",44,41,7,5,3,3,11,9,3,3
"Ninguna (010)",25,21,10,3,1,1,2,1,3,4
,,,,,,,,,,
"RURAL (012)",6755,6580,1512,535,562,566,1178,1011,1216,175
"Católica (013)",5394,5242,1153,423,445,452,931,846,992,152
"Cristiana/Evangélica (014)",1185,1167,308,94,105,102,221,142,195,18
"Otra (015)",128,126,36,13,8,10,20,18,21,2
"Ninguna (016)",48,45,15,5,4,2,6,5,8,3
