"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PURUS (000)",1090,21,405,450,188,26
"Agric., ganadería, caza y silvicultura (001)",389,4,145,150,75,15
"Pesca (002)",3,,2,,1,
"Industrias manufactureras (004)",46,1,16,14,13,2
"Suministro de electricidad, gas y agua (005)",1,,,1,,
"Construcción (006)",43,2,16,19,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",60,10,18,22,10,
"Venta, mant.y rep. veh.autom.y motoc. (008)",3,,,2,1,
"Comercio al por mayor (009)",3,,,2,1,
"Comercio al por menor (010)",54,10,18,18,8,
"Hoteles y restaurantes (011)",24,,10,11,3,
"Trans., almac. y comunicaciones (012)",30,1,14,12,3,
"Intermediación financiera (013)",4,,2,1,1,
"Activid.inmobil., empres. y alquileres (014)",10,,8,,2,
"Admin.pub. y defensa; p. segur.soc afil (015)",141,,48,63,27,3
"Enseñanza (016)",148,,44,88,16,
"Servicios sociales y de salud (017)",20,,6,12,2,
"Otras activ. serv.comun.soc y personales (018)",20,,7,10,3,
"Hogares privados con servicio doméstico (019)",8,,5,3,,
"Actividad economica no especificada (021)",106,,43,32,25,6
"Desocupado (022)",37,3,21,12,1,
"Hombres (023)",855,16,317,341,158,23
"Agric., ganadería, caza y silvicultura (024)",339,3,128,128,65,15
"Pesca (025)",3,,2,,1,
"Industrias manufactureras (027)",43,1,15,13,12,2
"Suministro de electricidad, gas y agua (028)",1,,,1,,
"Construcción (029)",41,2,16,18,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",35,8,10,10,7,
"Venta, mant.y rep. veh.autom.y motoc. (031)",3,,,2,1,
"Comercio al por mayor (032)",3,,,2,1,
"Comercio al por menor (033)",29,8,10,6,5,
"Hoteles y restaurantes (034)",10,,4,5,1,
"Trans., almac. y comunicaciones (035)",29,1,14,11,3,
"Intermediación financiera (036)",3,,1,1,1,
"Activid.inmobil., empres. y alquileres (037)",7,,6,,1,
"Admin.pub. y defensa; p. segur.soc afil (038)",108,,37,49,20,2
"Enseñanza (039)",93,,23,55,15,
"Servicios sociales y de salud (040)",12,,6,5,1,
"Otras activ. serv.comun.soc y personales (041)",13,,4,6,3,
"Hogares privados con servicio doméstico (042)",5,,3,2,,
"Actividad economica no especificada (044)",82,,31,25,22,4
"Desocupado (045)",31,1,17,12,1,
"Mujeres (046)",235,5,88,109,30,3
