"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUANCANE (000)",22288,10427,11861
"Red pública de desague dentro de la vivienda (001)",1848,1645,203
"Red pública de desague fuera de la vivienda (002)",454,412,42
"Pozo séptico (003)",833,430,403
"Pozo ciego o negro / letrina (004)",7319,3681,3638
"Río, acequia o canal (005)",718,297,421
"No tiene (006)",11116,3962,7154
,,,
"URBANA (008)",3975,3071,904
"Red pública de desague dentro de la vivienda (009)",1837,1641,196
"Red pública de desague fuera de la vivienda (010)",425,402,23
"Pozo séptico (011)",150,120,30
"Pozo ciego o negro / letrina (012)",376,274,102
"Río, acequia o canal (013)",40,22,18
"No tiene (014)",1147,612,535
,,,
"RURAL (016)",18313,7356,10957
"Red pública de desague dentro de la vivienda (017)",11,4,7
"Red pública de desague fuera de la vivienda (018)",29,10,19
"Pozo séptico (019)",683,310,373
"Pozo ciego o negro / letrina (020)",6943,3407,3536
"Río, acequia o canal (021)",678,275,403
"No tiene (022)",9969,3350,6619
