"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHINCHA (000)",194315,4064,54597,53202,39978,29842,12632
"Hombres (001)",95977,2106,27828,26520,19162,14215,6146
"Mujeres (002)",98338,1958,26769,26682,20816,15627,6486
"Viviendas particulares (003)",193285,4046,54562,52838,39616,29664,12559
"Hombres (004)",95160,2092,27809,26224,18856,14071,6108
"Mujeres (005)",98125,1954,26753,26614,20760,15593,6451
"Viviendas colectivas (006)",968,17,33,338,350,162,68
"Hombres (007)",773,14,18,279,296,131,35
"Mujeres (008)",195,3,15,59,54,31,33
"Otro tipo (009)",62,1,2,26,12,16,5
"Hombres (010)",44,,1,17,10,13,3
"Mujeres (011)",18,1,1,9,2,3,2
,,,,,,,
"URBANA (012)",172733,3595,48561,47340,35788,26439,11010
"Hombres (013)",85081,1871,24765,23577,17054,12507,5307
"Mujeres (014)",87652,1724,23796,23763,18734,13932,5703
"Viviendas particulares (015)",171705,3577,48526,46976,35426,26261,10939
"Hombres (016)",84265,1857,24746,23281,16748,12363,5270
"Mujeres (017)",87440,1720,23780,23695,18678,13898,5669
"Viviendas colectivas (018)",968,17,33,338,350,162,68
"Hombres (019)",773,14,18,279,296,131,35
"Mujeres (020)",195,3,15,59,54,31,33
"Otro tipo (021)",60,1,2,26,12,16,3
"Hombres (022)",43,,1,17,10,13,2
"Mujeres (023)",17,1,1,9,2,3,1
,,,,,,,
"RURAL (024)",21582,469,6036,5862,4190,3403,1622
"Hombres (025)",10896,235,3063,2943,2108,1708,839
"Mujeres (026)",10686,234,2973,2919,2082,1695,783
"Viviendas particulares (027)",21580,469,6036,5862,4190,3403,1620
"Hombres (028)",10895,235,3063,2943,2108,1708,838
"Mujeres (029)",10685,234,2973,2919,2082,1695,782
"Otro tipo (033)",2,,,,,,2
"Hombres (034)",1,,,,,,1
"Mujeres (035)",1,,,,,,1
