"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ANGARAES (000)",55704,1186,22606,13081,8479,7109,3243
"Hombres (001)",27252,595,11468,6411,3976,3400,1402
"Mujeres (002)",28452,591,11138,6670,4503,3709,1841
"Viviendas particulares (003)",55528,1184,22593,13002,8426,7081,3242
"Hombres (004)",27151,593,11466,6373,3939,3379,1401
"Mujeres (005)",28377,591,11127,6629,4487,3702,1841
"Viviendas colectivas (006)",149,2,9,74,45,18,1
"Hombres (007)",85,2,1,34,33,14,1
"Mujeres (008)",64,,8,40,12,4,
"Otro tipo (009)",27,,4,5,8,10,
"Hombres (010)",16,,1,4,4,7,
"Mujeres (011)",11,,3,1,4,3,
,,,,,,,
"URBANA (012)",16086,270,5660,4047,2867,2292,950
"Hombres (013)",7850,147,2845,1952,1363,1138,405
"Mujeres (014)",8236,123,2815,2095,1504,1154,545
"Viviendas particulares (015)",15911,268,5647,3969,2814,2264,949
"Hombres (016)",7750,145,2843,1915,1326,1117,404
"Mujeres (017)",8161,123,2804,2054,1488,1147,545
"Viviendas colectivas (018)",149,2,9,74,45,18,1
"Hombres (019)",85,2,1,34,33,14,1
"Mujeres (020)",64,,8,40,12,4,
"Otro tipo (021)",26,,4,4,8,10,
"Hombres (022)",15,,1,3,4,7,
"Mujeres (023)",11,,3,1,4,3,
,,,,,,,
"RURAL (024)",39618,916,16946,9034,5612,4817,2293
"Hombres (025)",19402,448,8623,4459,2613,2262,997
"Mujeres (026)",20216,468,8323,4575,2999,2555,1296
"Viviendas particulares (027)",39617,916,16946,9033,5612,4817,2293
"Hombres (028)",19401,448,8623,4458,2613,2262,997
"Mujeres (029)",20216,468,8323,4575,2999,2555,1296
"Otro tipo (033)",1,,,1,,,
"Hombres (034)",1,,,1,,,
