"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia JAEN (000)",45065,897,19938,12481,3969,1369,548,157,23,,5683
"Catolica (001)",38124,742,16679,10630,3423,1193,466,123,21,,4847
"Cristiana / Evangelica (002)",4522,102,2150,1193,365,114,54,16,,,528
"Otra (003)",1682,34,768,474,134,42,21,15,,,194
"Ninguna (004)",737,19,341,184,47,20,7,3,2,,114
,,,,,,,,,,,
"URBANA (006)",24025,411,9087,6864,2538,948,406,114,16,,3641
"Catolica (007)",20242,336,7534,5824,2199,831,345,88,15,,3070
"Cristiana / Evangelica (008)",2308,45,948,612,211,76,40,13,,,363
"Otra (009)",1077,20,434,329,96,28,15,11,,,144
"Ninguna (010)",398,10,171,99,32,13,6,2,1,,64
,,,,,,,,,,,
"RURAL (012)",21040,486,10851,5617,1431,421,142,43,7,,2042
"Catolica (013)",17882,406,9145,4806,1224,362,121,35,6,,1777
"Cristiana / Evangelica (014)",2214,57,1202,581,154,38,14,3,,,165
"Otra (015)",605,14,334,145,38,14,6,4,,,50
"Ninguna (016)",339,9,170,85,15,7,1,1,1,,50
