"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TAHUAMANU (000)",5684,61,1991,2215,1216,201
"Empleado (001)",1262,1,448,547,256,10
"Obrero (002)",2205,10,882,916,373,24
"Trabajador independiente (003)",1600,6,378,583,484,149
"Empleador o patrono (004)",100,,14,47,36,3
"Trabajador familiar no remunerado (005)",327,38,151,72,52,14
"Trabajador del hogar (006)",47,3,29,11,3,1
"Desocupado (008)",143,3,89,39,12,
"Hombres (009)",4436,37,1494,1731,999,175
"Empleado (010)",864,,265,378,212,9
"Obrero (011)",1999,9,778,841,347,24
"Trabajador independiente (012)",1217,4,280,415,387,131
"Empleador o patrono (013)",82,,10,42,28,2
"Trabajador familiar no remunerado (014)",170,21,99,28,14,8
"Trabajador del hogar (015)",3,,1,1,,1
"Desocupado (017)",101,3,61,26,11,
"Mujeres (018)",1248,24,497,484,217,26
"Empleado (019)",398,1,183,169,44,1
"Obrero (020)",206,1,104,75,26,
"Trabajador independiente (021)",383,2,98,168,97,18
"Empleador o patrono (022)",18,,4,5,8,1
"Trabajador familiar no remunerado (023)",157,17,52,44,38,6
"Trabajador del hogar (024)",44,3,28,10,3,
"Desocupado (026)",42,,28,13,1,
,,,,,,
"URBANA (027)",3977,44,1483,1594,768,88
"Empleado (028)",1132,1,402,492,227,10
"Obrero (029)",1613,10,649,693,248,13
"Trabajador independiente (030)",855,6,251,303,241,54
"Empleador o patrono (031)",54,,8,28,18,
"Trabajador familiar no remunerado (032)",154,22,66,35,21,10
"Trabajador del hogar (033)",40,3,25,8,3,1
"Desocupado (035)",129,2,82,35,10,
"Hombres (036)",3014,24,1075,1218,623,74
"Empleado (037)",767,,236,337,185,9
"Obrero (038)",1453,9,569,632,230,13
"Trabajador independiente (039)",580,4,168,187,176,45
"Empleador o patrono (040)",39,,4,23,12,
"Trabajador familiar no remunerado (041)",82,9,42,15,10,6
"Trabajador del hogar (042)",3,,1,1,,1
"Desocupado (044)",90,2,55,23,10,
"Mujeres (045)",963,20,408,376,145,14
"Empleado (046)",365,1,166,155,42,1
"Obrero (047)",160,1,80,61,18,
"Trabajador independiente (048)",275,2,83,116,65,9
"Empleador o patrono (049)",15,,4,5,6,
"Trabajador familiar no remunerado (050)",72,13,24,20,11,4
"Trabajador del hogar (051)",37,3,24,7,3,
"Desocupado (053)",39,,27,12,,
,,,,,,
"RURAL (054)",1707,17,508,621,448,113
"Empleado (055)",130,,46,55,29,
"Obrero (056)",592,,233,223,125,11
"Trabajador independiente (057)",745,,127,280,243,95
"Empleador o patrono (058)",46,,6,19,18,3
"Trabajador familiar no remunerado (059)",173,16,85,37,31,4
"Trabajador del hogar (060)",7,,4,3,,
"Desocupado (062)",14,1,7,4,2,
"Hombres (063)",1422,13,419,513,376,101
"Empleado (064)",97,,29,41,27,
"Obrero (065)",546,,209,209,117,11
"Trabajador independiente (066)",637,,112,228,211,86
"Empleador o patrono (067)",43,,6,19,16,2
"Trabajador familiar no remunerado (068)",88,12,57,13,4,2
"Desocupado (071)",11,1,6,3,1,
"Mujeres (072)",285,4,89,108,72,12
"Empleado (073)",33,,17,14,2,
"Obrero (074)",46,,24,14,8,
"Trabajador independiente (075)",108,,15,52,32,9
"Empleador o patrono (076)",3,,,,2,1
"Trabajador familiar no remunerado (077)",85,4,28,24,27,2
"Trabajador del hogar (078)",7,,4,3,,
"Desocupado (080)",3,,1,1,1,
