"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia VIRU (000)",65642,6577,1051,29794,20235,2648,2259,1354,1724
"Hombres (001)",34129,2121,559,15593,11427,1447,1247,762,973
"Mujeres (002)",31513,4456,492,14201,8808,1201,1012,592,751
"PEA (003)",31468,2445,76,12432,11181,1644,1705,724,1261
"Hombres (004)",22416,1322,52,9057,8361,1120,1129,524,851
"Mujeres (005)",9052,1123,24,3375,2820,524,576,200,410
"Ocupada (006)",30684,2375,73,12104,10901,1614,1670,715,1232
"Hombres (007)",21886,1283,49,8825,8165,1101,1110,520,833
"Mujeres (008)",8798,1092,24,3279,2736,513,560,195,399
"Desocupada (009)",784,70,3,328,280,30,35,9,29
"Hombres (010)",530,39,3,232,196,19,19,4,18
"Mujeres (011)",254,31,,96,84,11,16,5,11
"No PEA (012)",34174,4132,975,17362,9054,1004,554,630,463
"Hombres (013)",11713,799,507,6536,3066,327,118,238,122
"Mujeres (014)",22461,3333,468,10826,5988,677,436,392,341
,,,,,,,,,
"URBANA (018)",50396,4302,857,22158,16403,2211,1892,1129,1444
"Hombres (019)",25920,1285,455,11327,9168,1203,1023,652,807
"Mujeres (020)",24476,3017,402,10831,7235,1008,869,477,637
"PEA (021)",24650,1588,60,9202,9258,1418,1441,627,1056
"Hombres (022)",16929,745,43,6352,6745,960,926,452,706
"Mujeres (023)",7721,843,17,2850,2513,458,515,175,350
"Ocupada (024)",24084,1551,57,8981,9037,1393,1412,620,1033
"Hombres (025)",16538,726,40,6188,6590,945,909,448,692
"Mujeres (026)",7546,825,17,2793,2447,448,503,172,341
"Desocupada (027)",566,37,3,221,221,25,29,7,23
"Hombres (028)",391,19,3,164,155,15,17,4,14
"Mujeres (029)",175,18,,57,66,10,12,3,9
"No PEA (030)",25746,2714,797,12956,7145,793,451,502,388
"Hombres (031)",8991,540,412,4975,2423,243,97,200,101
"Mujeres (032)",16755,2174,385,7981,4722,550,354,302,287
,,,,,,,,,
"RURAL (036)",15246,2275,194,7636,3832,437,367,225,280
"Hombres (037)",8209,836,104,4266,2259,244,224,110,166
"Mujeres (038)",7037,1439,90,3370,1573,193,143,115,114
"PEA (039)",6818,857,16,3230,1923,226,264,97,205
"Hombres (040)",5487,577,9,2705,1616,160,203,72,145
"Mujeres (041)",1331,280,7,525,307,66,61,25,60
"Ocupada (042)",6600,824,16,3123,1864,221,258,95,199
"Hombres (043)",5348,557,9,2637,1575,156,201,72,141
"Mujeres (044)",1252,267,7,486,289,65,57,23,58
"Desocupada (045)",218,33,,107,59,5,6,2,6
"Hombres (046)",139,20,,68,41,4,2,,4
"Mujeres (047)",79,13,,39,18,1,4,2,2
"No PEA (048)",8428,1418,178,4406,1909,211,103,128,75
"Hombres (049)",2722,259,95,1561,643,84,21,38,21
"Mujeres (050)",5706,1159,83,2845,1266,127,82,90,54
