"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PIURA (000)",256176,242219,80180,34625,34404,27612,31367,15979,9304,8748,13957,606347
"De 12 a 14 años (001)",21753,21638,21560,62,16,,,,,,115,94
"De 15 a 19 años (002)",34773,34101,30573,3047,404,61,16,,,,672,4102
"De 20 a 24 años (003)",31643,27365,13134,9028,3998,967,213,25,,,4278,20976
"De 25 a 29 años (004)",28681,25055,5071,7793,7018,3430,1582,135,26,,3626,39892
"De 30 a 34 años (005)",25362,23706,2555,4862,6790,4887,3853,640,105,14,1656,54692
"De 35 a 39 años (006)",23250,22173,1697,2949,5284,5024,5238,1587,311,83,1077,64976
"De 40 a 44 años (007)",20650,19907,1312,2048,3867,4225,5203,2171,758,323,743,69025
"De 45 a 49 años (008)",17954,17397,1093,1596,2740,3275,4505,2430,1164,594,557,68654
"De 50 y más años (009)",52110,50877,3185,3240,4287,5743,10757,8991,6940,7734,1233,283936
"PEA (010)",76194,69785,19287,13074,12693,9489,9097,3452,1588,1105,6409,154624
"De 12 a 14 años (011)",720,719,709,6,4,,,,,,1,14
"De 15 a 19 años (012)",5544,5467,4979,428,48,11,1,,,,77,561
"De 20 a 24 años (013)",10208,8412,5244,2235,733,153,42,5,,,1796,4369
"De 25 a 29 años (014)",11234,9176,3207,3079,1859,725,278,23,5,,2058,10325
"De 30 a 34 años (015)",10358,9387,1728,2491,2653,1436,933,128,14,4,971,17057
"De 35 a 39 años (016)",9863,9289,1071,1647,2528,1955,1651,353,63,21,574,22696
"De 40 a 44 años (017)",8920,8574,761,1190,2036,1893,1850,613,175,56,346,24909
"De 45 a 49 años (018)",7555,7297,605,899,1417,1569,1742,682,269,114,258,23924
"De 50 y más años (019)",11792,11464,983,1099,1415,1747,2600,1648,1062,910,328,50769
