"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia BONGARA",,,,,,,
"Viviendas particulares (001)",6381,1023,27,58,5127,78,68
"Ocupantes presentes (002)",26676,3681,109,242,22126,264,254
"Casa independiente",,,,,,,
"Viviendas particulares (004)",6150,883,27,56,5047,73,64
"Ocupantes presentes (005)",25947,3284,109,236,21824,252,242
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",7,4,,2,1,,
"Ocupantes presentes (008)",21,8,,6,7,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",44,36,,,8,,
"Ocupantes presentes (011)",157,130,,,27,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",128,85,,,41,2,
"Ocupantes presentes (014)",370,210,,,156,4,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",38,10,,,27,,1
"Ocupantes presentes (017)",134,34,,,98,,2
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",5,3,,,2,,
"Ocupantes presentes (020)",18,6,,,12,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",9,2,,,1,3,3
"Ocupantes presentes (023)",29,9,,,2,8,10
"Otro tipo",,,,,,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",3833,788,27,42,2896,41,39
"Ocupantes presentes (029)",15732,2775,109,171,12377,140,160
"Casa independiente",,,,,,,
"Viviendas particulares (031)",3642,658,27,40,2843,37,37
"Ocupantes presentes (032)",15141,2412,109,165,12173,130,152
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",7,4,,2,1,,
"Ocupantes presentes (035)",21,8,,6,7,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",44,36,,,8,,
"Ocupantes presentes (038)",157,130,,,27,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",128,85,,,41,2,
"Ocupantes presentes (041)",370,210,,,156,4,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",5,3,,,2,,
"Ocupantes presentes (047)",18,6,,,12,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",7,2,,,1,2,2
"Ocupantes presentes (050)",25,9,,,2,6,8
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",2548,235,,16,2231,37,29
"Ocupantes presentes (056)",10944,906,,71,9749,124,94
"Casa independiente",,,,,,,
"Viviendas particulares (058)",2508,225,,16,2204,36,27
"Ocupantes presentes (059)",10806,872,,71,9651,122,90
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",38,10,,,27,,1
"Ocupantes presentes (071)",134,34,,,98,,2
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",2,,,,,1,1
"Ocupantes presentes (077)",4,,,,,2,2
"Otro tipo",,,,,,,
