"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia JUNIN (000)",13550,1637,4017,3802,4094
"Asiste actualmente (001)",9619,549,3861,3540,1669
"No asiste (002)",3931,1088,156,262,2425
"Hombres (004)",6801,822,2067,1927,1985
"Asiste actualmente (005)",4912,276,2001,1802,833
"No asiste (006)",1889,546,66,125,1152
"Mujeres (008)",6749,815,1950,1875,2109
"Asiste actualmente (009)",4707,273,1860,1738,836
"No asiste (010)",2042,542,90,137,1273
,,,,,
"URBANA (012)",9694,1116,2823,2822,2933
"Asiste actualmente (013)",7233,429,2754,2695,1355
"No asiste (014)",2461,687,69,127,1578
"Hombres (016)",4841,565,1476,1423,1377
"Asiste actualmente (017)",3680,209,1448,1369,654
"No asiste (018)",1161,356,28,54,723
"Mujeres (020)",4853,551,1347,1399,1556
"Asiste actualmente (021)",3553,220,1306,1326,701
"No asiste (022)",1300,331,41,73,855
,,,,,
"RURAL (024)",3856,521,1194,980,1161
"Asiste actualmente (025)",2386,120,1107,845,314
"No asiste (026)",1470,401,87,135,847
"Hombres (028)",1960,257,591,504,608
"Asiste actualmente (029)",1232,67,553,433,179
"No asiste (030)",728,190,38,71,429
"Mujeres (032)",1896,264,603,476,553
"Asiste actualmente (033)",1154,53,554,412,135
"No asiste (034)",742,211,49,64,418
