"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",21302,480,7918,5015,3298,3018,1573
"Casa independiente (001)",20738,469,7725,4842,3188,2974,1540
"Vivienda en quinta (003)",34,2,7,14,6,4,1
"Vivienda en casa de vecindad (004)",295,5,88,108,67,20,7
"Choza o cabaña (005)",235,4,98,51,37,20,25
,,,,,,,
"URBANA (009)",3383,77,1086,869,661,485,205
"Casa independiente (010)",3054,70,991,747,588,461,197
"Vivienda en quinta (012)",34,2,7,14,6,4,1
"Vivienda en casa de vecindad (013)",295,5,88,108,67,20,7
,,,,,,,
"RURAL (018)",17919,403,6832,4146,2637,2533,1368
"Casa independiente (019)",17684,399,6734,4095,2600,2513,1343
"Choza o cabaña (023)",235,4,98,51,37,20,25
