"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ICA (000)",134156,16955,34601,31081,51519
"Asiste actualmente (001)",98715,12534,33540,29173,23468
"No asiste (002)",35441,4421,1061,1908,28051
"Hombres (004)",67204,8633,17554,15586,25431
"Asiste actualmente (005)",49184,6376,16983,14570,11255
"No asiste (006)",18020,2257,571,1016,14176
"Mujeres (008)",66952,8322,17047,15495,26088
"Asiste actualmente (009)",49531,6158,16557,14603,12213
"No asiste (010)",17421,2164,490,892,13875
,,,,,
"URBANA (012)",123057,15554,31879,28580,47044
"Asiste actualmente (013)",91657,11578,30910,26896,22273
"No asiste (014)",31400,3976,969,1684,24771
"Hombres (016)",61512,7891,16183,14300,23138
"Asiste actualmente (017)",45622,5871,15663,13405,10683
"No asiste (018)",15890,2020,520,895,12455
"Mujeres (020)",61545,7663,15696,14280,23906
"Asiste actualmente (021)",46035,5707,15247,13491,11590
"No asiste (022)",15510,1956,449,789,12316
,,,,,
"RURAL (024)",11099,1401,2722,2501,4475
"Asiste actualmente (025)",7058,956,2630,2277,1195
"No asiste (026)",4041,445,92,224,3280
"Hombres (028)",5692,742,1371,1286,2293
"Asiste actualmente (029)",3562,505,1320,1165,572
"No asiste (030)",2130,237,51,121,1721
"Mujeres (032)",5407,659,1351,1215,2182
"Asiste actualmente (033)",3496,451,1310,1112,623
"No asiste (034)",1911,208,41,103,1559
