"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BELLAVISTA (000)",45341,5642,1247,24377,11286,859,1109,284,537
"Quechua (001)",290,119,1,147,17,4,,,2
"Aymara (002)",6,,,4,1,1,,,
"Ashaninca (003)",4,,1,2,1,,,,
"Otra lengua nativa (004)",8,1,1,4,2,,,,
"Castellano (005)",44954,5476,1244,24192,11260,854,1109,284,535
"Es sordomudo/a (007)",79,46,,28,5,,,,
"Hombres (009)",24327,2396,622,13095,6650,489,577,188,310
"Quechua (010)",120,24,,81,11,3,,,1
"Aymara (011)",2,,,2,,,,,
"Ashaninca (012)",2,,,2,,,,,
"Otra lengua nativa (013)",7,,1,4,2,,,,
"Castellano (014)",24149,2345,621,12990,6633,486,577,188,309
"Es sordomudo/a (016)",47,27,,16,4,,,,
"Mujeres (018)",21014,3246,625,11282,4636,370,532,96,227
"Quechua (019)",170,95,1,66,6,1,,,1
"Aymara (020)",4,,,2,1,1,,,
"Ashaninca (021)",2,,1,,1,,,,
"Otra lengua nativa (022)",1,1,,,,,,,
"Castellano (023)",20805,3131,623,11202,4627,368,532,96,226
"Es sordomudo/a (025)",32,19,,12,1,,,,
,,,,,,,,,
"URBANA (027)",25282,2475,661,11837,7862,749,972,249,477
"Quechua (028)",105,52,,39,10,2,,,2
"Aymara (029)",3,,,2,,1,,,
"Ashaninca (030)",2,,,1,1,,,,
"Otra lengua nativa (031)",5,1,,2,2,,,,
"Castellano (032)",25128,2401,661,11777,7847,746,972,249,475
"Es sordomudo/a (034)",39,21,,16,2,,,,
"Hombres (036)",13350,1073,336,6067,4502,424,506,163,279
"Quechua (037)",38,7,,23,6,1,,,1
"Aymara (038)",1,,,1,,,,,
"Ashaninca (039)",1,,,1,,,,,
"Otra lengua nativa (040)",4,,,2,2,,,,
"Castellano (041)",13282,1052,336,6031,4493,423,506,163,278
"Es sordomudo/a (043)",24,14,,9,1,,,,
"Mujeres (045)",11932,1402,325,5770,3360,325,466,86,198
"Quechua (046)",67,45,,16,4,1,,,1
"Aymara (047)",2,,,1,,1,,,
"Ashaninca (048)",1,,,,1,,,,
"Otra lengua nativa (049)",1,1,,,,,,,
"Castellano (050)",11846,1349,325,5746,3354,323,466,86,197
"Es sordomudo/a (052)",15,7,,7,1,,,,
,,,,,,,,,
"RURAL (054)",20059,3167,586,12540,3424,110,137,35,60
"Quechua (055)",185,67,1,108,7,2,,,
"Aymara (056)",3,,,2,1,,,,
"Ashaninca (057)",2,,1,1,,,,,
"Otra lengua nativa (058)",3,,1,2,,,,,
"Castellano (059)",19826,3075,583,12415,3413,108,137,35,60
"Es sordomudo/a (061)",40,25,,12,3,,,,
"Hombres (063)",10977,1323,286,7028,2148,65,71,25,31
"Quechua (064)",82,17,,58,5,2,,,
"Aymara (065)",1,,,1,,,,,
"Ashaninca (066)",1,,,1,,,,,
"Otra lengua nativa (067)",3,,1,2,,,,,
"Castellano (068)",10867,1293,285,6959,2140,63,71,25,31
"Es sordomudo/a (070)",23,13,,7,3,,,,
"Mujeres (072)",9082,1844,300,5512,1276,45,66,10,29
"Quechua (073)",103,50,1,50,2,,,,
"Aymara (074)",2,,,1,1,,,,
"Ashaninca (075)",1,,1,,,,,,
"Castellano (077)",8959,1782,298,5456,1273,45,66,10,29
"Es sordomudo/a (079)",17,12,,5,,,,,
