"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia SANCHEZ CARRION (000)",75611,36004,173,581,34677,1628,160,115,115,2158
"Hombres (001)",25161,18768,117,327,3702,827,131,72,115,1102
"Mujeres (002)",50450,17236,56,254,30975,801,29,43,,1056
"De 06 a 14 años (003)",33393,29935,,,1330,1018,4,36,,1070
"Hombres (004)",16646,15427,,,260,503,,21,,435
"Mujeres (005)",16747,14508,,,1070,515,4,15,,635
"De 15 a 29 años (006)",19273,5947,10,152,12458,,78,23,115,490
"Hombres (007)",5070,3303,6,80,1246,,62,13,115,245
"Mujeres (008)",14203,2644,4,72,11212,,16,10,,245
"De 30 a 44 años (009)",10269,86,16,151,9774,,42,16,,184
"Hombres (010)",1129,29,7,74,834,,37,11,,137
"Mujeres (011)",9140,57,9,77,8940,,5,5,,47
"De 45 a 64 años (012)",7885,26,59,146,7392,11,31,26,,194
"Hombres (013)",1072,6,41,89,745,5,27,17,,142
"Mujeres (014)",6813,20,18,57,6647,6,4,9,,52
"De 65 y más años (015)",4791,10,88,132,3723,599,5,14,,220
"Hombres (016)",1244,3,63,84,617,319,5,10,,143
"Mujeres (017)",3547,7,25,48,3106,280,,4,,77
,,,,,,,,,,
"AREA URBANA (018)",19835,11006,144,250,7491,325,31,25,113,450
"Hombres (019)",7302,5455,96,135,1025,188,22,15,113,253
"Mujeres (020)",12533,5551,48,115,6466,137,9,10,,197
"De 06 a 14 años (021)",8244,7807,,,206,112,1,6,,112
"Hombres (022)",4102,3923,,,71,51,,4,,53
"Mujeres (023)",4142,3884,,,135,61,1,2,,59
"De 15 a 29 años (024)",5982,3148,7,62,2475,,13,7,113,157
"Hombres (025)",2096,1510,5,29,340,,8,4,113,87
"Mujeres (026)",3886,1638,2,33,2135,,5,3,,70
"De 30 a 44 años (027)",2377,43,11,60,2201,,6,2,,54
"Hombres (028)",302,19,4,33,203,,5,1,,37
"Mujeres (029)",2075,24,7,27,1998,,1,1,,17
"De 45 a 64 años (030)",1915,6,49,62,1723,6,9,4,,56
"Hombres (031)",322,2,32,35,211,3,7,3,,29
"Mujeres (032)",1593,4,17,27,1512,3,2,1,,27
"De 65 y más años (033)",1317,2,77,66,886,207,2,6,,71
"Hombres (034)",480,1,55,38,200,134,2,3,,47
"Mujeres (035)",837,1,22,28,686,73,,3,,24
,,,,,,,,,,
"AREA RURAL (036)",55776,24998,29,331,27186,1303,129,90,2,1708
"Hombres (037)",17859,13313,21,192,2677,639,109,57,2,849
"Mujeres (038)",37917,11685,8,139,24509,664,20,33,,859
"De 06 a 14 años (039)",25149,22128,,,1124,906,3,30,,958
"Hombres (040)",12544,11504,,,189,452,,17,,382
"Mujeres (041)",12605,10624,,,935,454,3,13,,576
"De 15 a 29 años (042)",13291,2799,3,90,9983,,65,16,2,333
"Hombres (043)",2974,1793,1,51,906,,54,9,2,158
"Mujeres (044)",10317,1006,2,39,9077,,11,7,,175
"De 30 a 44 años (045)",7892,43,5,91,7573,,36,14,,130
"Hombres (046)",827,10,3,41,631,,32,10,,100
"Mujeres (047)",7065,33,2,50,6942,,4,4,,30
"De 45 a 64 años (048)",5970,20,10,84,5669,5,22,22,,138
"Hombres (049)",750,4,9,54,534,2,20,14,,113
"Mujeres (050)",5220,16,1,30,5135,3,2,8,,25
"De 65 y más años (051)",3474,8,11,66,2837,392,3,8,,149
"Hombres (052)",764,2,8,46,417,185,3,7,,96
"Mujeres (053)",2710,6,3,20,2420,207,,1,,53
