"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CARAVELI",,,,,,,,,
"Hogares (001)",9689,387,165,95,66,45,27,24,8880
"Ocupantes presentes (002)",32412,1145,471,270,233,172,93,108,29920
"Casa independiente",,,,,,,,,
"Hogares (004)",8614,361,159,90,64,43,26,22,7849
"Ocupantes presentes (005)",29352,1094,454,254,225,166,89,103,26967
"Departamento en edificio",,,,,,,,,
"Hogares (007)",4,,,,,,,,4
"Ocupantes presentes (008)",7,,,,,,,,7
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",80,3,,1,,,,2,74
"Ocupantes presentes (011)",242,6,,4,,,,5,227
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",127,8,2,2,,,,,115
"Ocupantes presentes (014)",388,14,9,6,,,,,359
"Choza o cabaña",,,,,,,,,
"Hogares (016)",689,11,4,,2,2,1,,669
"Ocupantes presentes (017)",1832,22,8,,8,6,4,,1784
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",136,3,,2,,,,,131
"Ocupantes presentes (020)",469,8,,6,,,,,455
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",26,,,,,,,,26
"Ocupantes presentes (023)",89,,,,,,,,89
"Otro tipo",,,,,,,,,
"Hogares (025)",13,1,,,,,,,12
"Ocupantes presentes (026)",33,1,,,,,,,32
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",6292,293,136,79,56,41,26,22,5639
"Ocupantes presentes (029)",21984,898,403,215,204,153,89,102,19920
"Casa independiente",,,,,,,,,
"Hogares (031)",5912,278,134,74,56,41,26,20,5283
"Ocupantes presentes (032)",20768,869,394,199,204,153,89,97,18763
"Departamento en edificio",,,,,,,,,
"Hogares (034)",4,,,,,,,,4
"Ocupantes presentes (035)",7,,,,,,,,7
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",80,3,,1,,,,2,74
"Ocupantes presentes (038)",242,6,,4,,,,5,227
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",127,8,2,2,,,,,115
"Ocupantes presentes (041)",388,14,9,6,,,,,359
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",136,3,,2,,,,,131
"Ocupantes presentes (047)",469,8,,6,,,,,455
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",25,,,,,,,,25
"Ocupantes presentes (050)",86,,,,,,,,86
"Otro tipo",,,,,,,,,
"Hogares (052)",8,1,,,,,,,7
"Ocupantes presentes (053)",24,1,,,,,,,23
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",3397,94,29,16,10,4,1,2,3241
"Ocupantes presentes (056)",10428,247,68,55,29,19,4,6,10000
"Casa independiente",,,,,,,,,
"Hogares (058)",2702,83,25,16,8,2,,2,2566
"Ocupantes presentes (059)",8584,225,60,55,21,13,,6,8204
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",689,11,4,,2,2,1,,669
"Ocupantes presentes (071)",1832,22,8,,8,6,4,,1784
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
"Hogares (079)",5,,,,,,,,5
"Ocupantes presentes (080)",9,,,,,,,,9
