"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TOCACHE (000)",16327,428,7511,4727,1320,457,209,59,8,,1608
"Sin Nivel (001)",2522,103,1177,699,179,66,47,22,3,,226
"Educación Inicial (002)",24,1,13,6,,1,,,,,3
"Primaria (003)",7063,239,3687,1876,439,137,96,23,2,,564
"Secundaria (004)",4658,80,2200,1407,322,112,27,10,1,,499
"Sup. no Univ. Incompleta (005)",548,2,164,215,62,11,6,1,1,,86
"Sup. no Univ. Completa (006)",918,2,177,341,194,67,18,2,1,,116
"Sup. Univ. Incompleta (007)",193,,43,78,21,13,1,,,,37
"Sup. Univ. Completa (008)",401,1,50,105,103,50,14,1,,,77
,,,,,,,,,,,
"URBANA (010)",8790,176,3688,2652,842,321,139,41,5,,926
"Sin Nivel (011)",794,34,350,201,59,23,22,12,3,,90
"Educación Inicial (012)",14,,7,3,,1,,,,,3
"Primaria (013)",3348,97,1671,935,233,82,62,17,,,251
"Secundaria (014)",2938,41,1328,908,223,93,23,8,,,314
"Sup. no Univ. Incompleta (015)",418,1,118,166,49,7,4,1,1,,71
"Sup. no Univ. Completa (016)",777,2,142,285,170,58,16,2,1,,101
"Sup. Univ. Incompleta (017)",153,,29,65,19,11,,,,,29
"Sup. Univ. Completa (018)",348,1,43,89,89,46,12,1,,,67
,,,,,,,,,,,
"RURAL (020)",7537,252,3823,2075,478,136,70,18,3,,682
"Sin Nivel (021)",1728,69,827,498,120,43,25,10,,,136
"Educación Inicial (022)",10,1,6,3,,,,,,,
"Primaria (023)",3715,142,2016,941,206,55,34,6,2,,313
"Secundaria (024)",1720,39,872,499,99,19,4,2,1,,185
"Sup. no Univ. Incompleta (025)",130,1,46,49,13,4,2,,,,15
"Sup. no Univ. Completa (026)",141,,35,56,24,9,2,,,,15
"Sup. Univ. Incompleta (027)",40,,14,13,2,2,1,,,,8
"Sup. Univ. Completa (028)",53,,7,16,14,4,2,,,,10
