"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANCANE (000)",19461,98,5853,7742,2544,843,378,155,27,,1821
"Catolica (001)",15328,77,4567,6082,2027,652,288,114,21,,1500
"Cristiana / Evangelica (002)",1020,3,286,418,126,52,27,11,2,,95
"Otra (003)",2056,7,661,825,264,95,43,17,2,,142
"Ninguna (004)",1057,11,339,417,127,44,20,13,2,,84
,,,,,,,,,,,
"URBANA (006)",3623,23,912,1245,508,175,98,38,3,,621
"Catolica (007)",3099,19,777,1071,445,144,77,26,2,,538
"Cristiana / Evangelica (008)",150,1,35,46,14,10,9,3,,,32
"Otra (009)",269,1,74,96,31,17,11,6,1,,32
"Ninguna (010)",105,2,26,32,18,4,1,3,,,19
,,,,,,,,,,,
"RURAL (012)",15838,75,4941,6497,2036,668,280,117,24,,1200
"Catolica (013)",12229,58,3790,5011,1582,508,211,88,19,,962
"Cristiana / Evangelica (014)",870,2,251,372,112,42,18,8,2,,63
"Otra (015)",1787,6,587,729,233,78,32,11,1,,110
"Ninguna (016)",952,9,313,385,109,40,19,10,2,,65
