"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia LAMPA",,,,,,
"Viviendas particulares (001)",13072,12836,196,37,2,1
"Ocupantes presentes (002)",46649,44613,1559,434,26,17
"Casa independiente",,,,,,
"Viviendas particulares (004)",8181,7962,182,34,2,1
"Ocupantes presentes (005)",29799,27912,1439,405,26,17
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",4,4,,,,
"Ocupantes presentes (008)",15,15,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",9,9,,,,
"Ocupantes presentes (011)",19,19,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",131,128,1,2,,
"Ocupantes presentes (014)",504,480,6,18,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",4731,4718,12,1,,
"Ocupantes presentes (017)",16250,16142,97,11,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",2,2,,,,
"Ocupantes presentes (020)",6,6,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",11,10,1,,,
"Ocupantes presentes (023)",50,33,17,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",3,3,,,,
"Ocupantes presentes (026)",6,6,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",4749,4545,167,35,2,
"Ocupantes presentes (029)",18125,16368,1321,410,26,
"Casa independiente",,,,,,
"Viviendas particulares (031)",4594,4394,165,33,2,
"Ocupantes presentes (032)",17533,15817,1298,392,26,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",4,4,,,,
"Ocupantes presentes (035)",15,15,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",9,9,,,,
"Ocupantes presentes (038)",19,19,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",131,128,1,2,,
"Ocupantes presentes (041)",504,480,6,18,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",2,2,,,,
"Ocupantes presentes (047)",6,6,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",8,7,1,,,
"Ocupantes presentes (050)",44,27,17,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",1,1,,,,
"Ocupantes presentes (053)",4,4,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",8323,8291,29,2,,1
"Ocupantes presentes (056)",28524,28245,238,24,,17
"Casa independiente",,,,,,
"Viviendas particulares (058)",3587,3568,17,1,,1
"Ocupantes presentes (059)",12266,12095,141,13,,17
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",4731,4718,12,1,,
"Ocupantes presentes (071)",16250,16142,97,11,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",3,3,,,,
"Ocupantes presentes (077)",6,6,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",2,2,,,,
"Ocupantes presentes (080)",2,2,,,,
