"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia VIRU (000)",30564,3143,16608,8426,588,1399,400
"Conviviente (001)",12785,1096,7435,3576,253,340,85
"Separado(a) (002)",1491,130,848,421,25,20,47
"Casado(a) (003)",5989,715,2588,2256,189,210,31
"Viudo(a) (004)",458,41,176,208,20,6,7
"Divorciado(a) (005)",97,7,42,42,2,1,3
"Soltero(a) (006)",9744,1154,5519,1923,99,822,227
"Hombres (008)",21792,2032,12204,6201,492,841,22
"Conviviente (009)",9353,818,5460,2731,225,112,7
"Separado(a) (010)",545,48,289,189,14,4,1
"Casado(a) (011)",4456,508,2021,1698,165,61,3
"Viudo(a) (012)",220,14,90,101,12,2,1
"Divorciado(a) (013)",67,6,28,30,1,1,1
"Soltero(a) (014)",7151,638,4316,1452,75,661,9
"Mujeres (016)",8772,1111,4404,2225,96,558,378
"Conviviente (017)",3432,278,1975,845,28,228,78
"Separado(a) (018)",946,82,559,232,11,16,46
"Casado(a) (019)",1533,207,567,558,24,149,28
"Viudo(a) (020)",238,27,86,107,8,4,6
"Divorciado(a) (021)",30,1,14,12,1,,2
"Soltero(a) (022)",2593,516,1203,471,24,161,218
,,,,,,,
"URBANA (024)",24000,2816,13124,6440,350,933,337
"Conviviente (025)",10202,999,6005,2724,154,240,80
"Separado(a) (026)",1212,112,690,337,15,19,39
"Casado(a) (027)",4605,642,1995,1684,98,158,28
"Viudo(a) (028)",326,35,123,150,8,4,6
"Divorciado(a) (029)",74,5,33,30,2,1,3
"Soltero(a) (030)",7581,1023,4278,1515,73,511,181
"Hombres (032)",16470,1844,9378,4454,277,500,17
"Conviviente (033)",7207,749,4285,1969,131,67,6
"Separado(a) (034)",413,46,221,134,7,4,1
"Casado(a) (035)",3266,453,1530,1164,79,38,2
"Viudo(a) (036)",128,11,55,57,3,1,1
"Divorciado(a) (037)",48,4,21,20,1,1,1
"Soltero(a) (038)",5408,581,3266,1110,56,389,6
"Mujeres (040)",7530,972,3746,1986,73,433,320
"Conviviente (041)",2995,250,1720,755,23,173,74
"Separado(a) (042)",799,66,469,203,8,15,38
"Casado(a) (043)",1339,189,465,520,19,120,26
"Viudo(a) (044)",198,24,68,93,5,3,5
"Divorciado(a) (045)",26,1,12,10,1,,2
"Soltero(a) (046)",2173,442,1012,405,17,122,175
,,,,,,,
"RURAL (048)",6564,327,3484,1986,238,466,63
"Conviviente (049)",2583,97,1430,852,99,100,5
"Separado(a) (050)",279,18,158,84,10,1,8
"Casado(a) (051)",1384,73,593,572,91,52,3
"Viudo(a) (052)",132,6,53,58,12,2,1
"Divorciado(a) (053)",23,2,9,12,,,
"Soltero(a) (054)",2163,131,1241,408,26,311,46
"Hombres (056)",5322,188,2826,1747,215,341,5
"Conviviente (057)",2146,69,1175,762,94,45,1
"Separado(a) (058)",132,2,68,55,7,,
"Casado(a) (059)",1190,55,491,534,86,23,1
"Viudo(a) (060)",92,3,35,44,9,1,
"Divorciado(a) (061)",19,2,7,10,,,
"Soltero(a) (062)",1743,57,1050,342,19,272,3
"Mujeres (064)",1242,139,658,239,23,125,58
"Conviviente (065)",437,28,255,90,5,55,4
"Separado(a) (066)",147,16,90,29,3,1,8
"Casado(a) (067)",194,18,102,38,5,29,2
"Viudo(a) (068)",40,3,18,14,3,1,1
"Divorciado(a) (069)",4,,2,2,,,
"Soltero(a) (070)",420,74,191,66,7,39,43
