"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TAYACAJA (000)",97734,19714,3170,46396,24416,1109,972,653,1304
"Jefe o Jefa (001)",25935,5725,25,11629,6936,324,430,196,670
"Esposa(o)/ compa¤era(o) (002)",16929,5016,36,8551,2751,119,180,51,225
"Hijo(a)/ hijastro(a) (003)",45937,6762,2720,22507,12648,540,248,291,221
"Yerno/ nuera (004)",718,25,1,265,342,27,20,11,27
"Nieto(a) (005)",2570,650,225,1261,400,18,5,7,4
"Padres/ suegros (006)",804,607,,162,31,,1,1,2
"Otro(a) pariente (007)",4129,824,155,1853,1093,48,52,42,62
"Trabajador(a) del hogar (008)",52,13,,25,14,,,,
"Pensionista (009)",28,,,5,3,8,4,1,7
"Otro(a) no pariente (010)",632,92,8,138,198,25,32,53,86
"Hombres (012)",48235,6696,1599,22653,14969,631,530,418,739
"Jefe o Jefa (013)",19223,2526,14,9297,6137,264,328,160,497
"Esposa(o)/ compa¤era(o) (014)",906,96,3,420,313,14,17,12,31
"Hijo(a)/ hijastro(a) (015)",23713,3257,1388,11101,7287,289,116,166,109
"Yerno/ nuera (016)",294,7,,73,161,13,14,8,18
"Nieto(a) (017)",1361,331,113,669,232,7,3,5,1
"Padres/ suegros (018)",219,107,,93,17,,,1,1
"Otro(a) pariente (019)",2110,327,76,914,681,25,31,27,29
"Trabajador(a) del hogar (020)",16,3,,7,6,,,,
"Pensionista (021)",17,,,3,1,7,3,1,2
"Otro(a) no pariente (022)",376,42,5,76,134,12,18,38,51
"Mujeres (024)",49499,13018,1571,23743,9447,478,442,235,565
"Jefe o Jefa (025)",6712,3199,11,2332,799,60,102,36,173
"Esposa(o)/ compa¤era(o) (026)",16023,4920,33,8131,2438,105,163,39,194
"Hijo(a)/ hijastro(a) (027)",22224,3505,1332,11406,5361,251,132,125,112
"Yerno/ nuera (028)",424,18,1,192,181,14,6,3,9
"Nieto(a) (029)",1209,319,112,592,168,11,2,2,3
"Padres/ suegros (030)",585,500,,69,14,,1,,1
"Otro(a) pariente (031)",2019,497,79,939,412,23,21,15,33
"Trabajador(a) del hogar (032)",36,10,,18,8,,,,
"Pensionista (033)",11,,,2,2,1,1,,5
"Otro(a) no pariente (034)",256,50,3,62,64,13,14,15,35
,,,,,,,,,
"URBANA (036)",23833,3391,770,9470,7534,625,660,474,909
"Jefe o Jefa (037)",6521,910,8,2362,2181,180,283,138,459
"Esposa(o)/ compa¤era(o) (038)",3855,703,8,1703,992,84,144,46,175
"Hijo(a)/ hijastro(a) (039)",10626,1233,651,4445,3513,275,161,197,151
"Yerno/ nuera (040)",202,4,1,38,104,17,16,6,16
"Nieto(a) (041)",623,163,55,274,113,8,2,4,4
"Padres/ suegros (042)",258,167,,65,23,,1,,2
"Otro(a) pariente (043)",1316,176,39,489,467,32,32,35,46
"Trabajador(a) del hogar (044)",38,4,,22,12,,,,
"Pensionista (045)",22,,,4,2,7,2,1,6
"Otro(a) no pariente (046)",372,31,8,68,127,22,19,47,50
