"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia POMABAMBA (000)",346,128,218
"Sin nivel (001)",73,14,59
"Primaria (003)",97,31,66
"Secundaria (004)",94,42,52
"Superior no univ. incompleta (005)",22,15,7
"Superior no univ. completa (006)",32,15,17
"Superior univ. incompleta (007)",8,4,4
"Superior univ. completa (008)",20,7,13
"De 14 a 29 años (010)",179,95,84
"Sin nivel (011)",18,9,9
"Primaria (013)",46,25,21
"Secundaria (014)",63,31,32
"Superior no univ. incompleta (015)",17,13,4
"Superior no univ. completa (016)",17,9,8
"Superior univ. incompleta (017)",7,3,4
"Superior univ. completa (018)",11,5,6
"De 30 a 44 años (020)",82,31,51
"Sin nivel (021)",11,4,7
"Primaria (023)",25,5,20
"Secundaria (024)",23,11,12
"Superior no univ. incompleta (025)",4,2,2
"Superior no univ. completa (026)",11,6,5
"Superior univ. incompleta (027)",1,1,
"Superior univ. completa (028)",7,2,5
"De 45 a 64 años (030)",56,2,54
"Sin nivel (031)",23,1,22
"Primaria (033)",18,1,17
"Secundaria (034)",8,,8
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",4,,4
"Superior univ. completa (038)",2,,2
"De 65 y más años (040)",29,,29
"Sin nivel (041)",21,,21
"Primaria (043)",8,,8
,,,
"AREA URBANA (050)",91,37,54
"Sin nivel (051)",8,1,7
"Primaria (053)",12,2,10
"Secundaria (054)",25,9,16
"Superior no univ. incompleta (055)",15,11,4
"Superior no univ. completa (056)",16,7,9
"Superior univ. incompleta (057)",8,4,4
"Superior univ. completa (058)",7,3,4
"De 14 a 29 años (060)",53,26,27
"Sin nivel (061)",3,1,2
"Primaria (063)",4,1,3
"Secundaria (064)",15,4,11
"Superior no univ. incompleta (065)",11,10,1
"Superior no univ. completa (066)",8,5,3
"Superior univ. incompleta (067)",7,3,4
"Superior univ. completa (068)",5,2,3
"De 30 a 44 años (070)",26,11,15
"Primaria (073)",5,1,4
"Secundaria (074)",9,5,4
"Superior no univ. incompleta (075)",3,1,2
"Superior no univ. completa (076)",6,2,4
"Superior univ. incompleta (077)",1,1,
"Superior univ. completa (078)",2,1,1
"De 45 a 64 años (080)",9,,9
"Sin nivel (081)",3,,3
"Primaria (083)",2,,2
"Secundaria (084)",1,,1
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",2,,2
"De 65 y más años (090)",3,,3
"Sin nivel (091)",2,,2
"Primaria (093)",1,,1
,,,
"AREA RURAL (100)",255,91,164
"Sin nivel (101)",65,13,52
"Primaria (103)",85,29,56
"Secundaria (104)",69,33,36
"Superior no univ. incompleta (105)",7,4,3
"Superior no univ. completa (106)",16,8,8
"Superior univ. completa (108)",13,4,9
"De 14 a 29 años (110)",126,69,57
"Sin nivel (111)",15,8,7
"Primaria (113)",42,24,18
"Secundaria (114)",48,27,21
"Superior no univ. incompleta (115)",6,3,3
"Superior no univ. completa (116)",9,4,5
"Superior univ. completa (118)",6,3,3
"De 30 a 44 años (120)",56,20,36
"Sin nivel (121)",11,4,7
"Primaria (123)",20,4,16
"Secundaria (124)",14,6,8
"Superior no univ. incompleta (125)",1,1,
"Superior no univ. completa (126)",5,4,1
"Superior univ. completa (128)",5,1,4
"De 45 a 64 años (130)",47,2,45
"Sin nivel (131)",20,1,19
"Primaria (133)",16,1,15
"Secundaria (134)",7,,7
"Superior no univ. completa (136)",2,,2
"Superior univ. completa (138)",2,,2
"De 65 y más años (140)",26,,26
"Sin nivel (141)",19,,19
"Primaria (143)",7,,7
