"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia CAJAMARCA",,,,,,,,,
"Viviendas particulares (001)",70382,41755,11926,1528,61,4908,6926,2654,624
"Ocupantes presentes (002)",308406,188594,50070,6861,247,20559,29374,10052,2649
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",63400,37419,10652,1453,50,4605,6285,2341,595
"Ocupantes presentes (005)",281514,171701,45712,6528,203,19230,26835,8766,2539
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",1639,1481,157,,,,,1,
"Ocupantes presentes (008)",6113,5538,571,,,,,4,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",2852,2089,741,,,,,22,
"Ocupantes presentes (011)",10650,8101,2444,,,,,105,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",1125,677,357,23,1,14,13,22,18
"Ocupantes presentes (014)",4607,2911,1259,125,6,68,46,119,73
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1128,,,48,5,275,554,241,5
"Ocupantes presentes (017)",4683,,,193,20,1208,2266,977,19
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",72,26,6,1,4,11,2,19,3
"Ocupantes presentes (020)",314,115,37,6,17,44,10,70,15
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",99,63,13,3,1,3,5,8,3
"Ocupantes presentes (023)",321,228,47,9,1,9,13,11,3
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",67,,,,,,67,,
"Ocupantes presentes (026)",204,,,,,,204,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",37801,30818,3727,415,37,706,668,1017,413
"Ocupantes presentes (029)",170083,140710,15072,1974,161,3190,3017,4112,1847
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",31962,26486,2457,388,31,680,583,948,389
"Ocupantes presentes (032)",147912,123834,10720,1834,137,3077,2748,3806,1756
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",1639,1481,157,,,,,1,
"Ocupantes presentes (035)",6113,5538,571,,,,,4,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",2852,2089,741,,,,,22,
"Ocupantes presentes (038)",10650,8101,2444,,,,,105,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",1125,677,357,23,1,14,13,22,18
"Ocupantes presentes (041)",4607,2911,1259,125,6,68,46,119,73
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",72,26,6,1,4,11,2,19,3
"Ocupantes presentes (047)",314,115,37,6,17,44,10,70,15
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",85,59,9,3,1,1,4,5,3
"Ocupantes presentes (050)",285,211,41,9,1,1,11,8,3
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",66,,,,,,66,,
"Ocupantes presentes (053)",202,,,,,,202,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",32581,10937,8199,1113,24,4202,6258,1637,211
"Ocupantes presentes (056)",138323,47884,34998,4887,86,17369,26357,5940,802
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",31438,10933,8195,1065,19,3925,5702,1393,206
"Ocupantes presentes (059)",133602,47867,34992,4694,66,16153,24087,4960,783
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1128,,,48,5,275,554,241,5
"Ocupantes presentes (071)",4683,,,193,20,1208,2266,977,19
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",14,4,4,,,2,1,3,
"Ocupantes presentes (077)",36,17,6,,,8,2,3,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,,,,,,1,,
"Ocupantes presentes (080)",2,,,,,,2,,
