"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PALPA (000)",3751,3397,8,765,778,565,653,352,195,81,354,11663
"De 12 a 14 años (001)",4,3,1,2,,,,,,,1,2
"De 15 a 19 años (002)",103,79,1,69,9,,,,,,24,87
"De 20 a 24 años (003)",403,281,,200,66,11,4,,,,122,381
"De 25 a 29 años (004)",452,366,1,165,141,50,9,,,,86,635
"De 30 a 34 años (005)",435,392,1,118,152,71,47,3,,,43,849
"De 35 a 39 años (006)",417,403,,56,143,109,81,14,,,14,1110
"De 40 a 44 años (007)",408,393,1,34,86,93,128,42,8,1,15,1388
"De 45 a 49 años (008)",346,330,,43,73,63,88,49,13,1,16,1196
"De 50 y más años (009)",1183,1150,3,78,108,168,296,244,174,79,33,6015
"Sin nivel (010)",342,327,1,15,22,32,93,85,58,21,15,1831
"De 20 a 24 años (013)",6,,,,,,,,,,6,
"De 25 a 29 años (014)",6,3,,1,,1,1,,,,3,8
"De 30 a 34 años (015)",4,3,,1,2,,,,,,1,5
"De 35 a 39 años (016)",10,10,,,1,4,3,2,,,,43
"De 40 a 44 años (017)",18,17,,1,2,2,9,3,,,1,71
"De 45 a 49 años (018)",22,22,,,3,1,13,5,,,,100
"De 50 y más años (019)",276,272,1,12,14,24,67,75,58,21,4,1604
"Primaria (030)",960,934,1,63,134,157,237,178,111,53,26,4519
"De 12 a 14 años (031)",2,2,,2,,,,,,,,2
"De 15 a 19 años (032)",15,12,,9,3,,,,,,3,15
"De 20 a 24 años (033)",33,29,,10,17,1,1,,,,4,51
"De 25 a 29 años (034)",33,32,1,3,22,6,,,,,1,65
"De 30 a 34 años (035)",61,57,,7,19,17,13,1,,,4,156
