"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia COTABAMBAS (000)",10797,151,4620,3293,919,287,124,67,19,,1317
"Conviviente (001)",4206,62,1859,1305,327,96,34,15,5,,503
"Separado(a) (002)",356,9,131,114,41,15,3,4,,,39
"Casado(a) (003)",4487,62,2024,1418,381,132,52,31,9,,378
"Viudo(a) (004)",1379,17,550,406,143,39,29,16,5,,174
"Divorciado(a) (005)",51,,20,17,7,,1,1,,,5
"Soltero(a) (006)",318,1,36,33,20,5,5,,,,218
,,,,,,,,,,,
"URBANA (008)",2972,46,1129,854,324,108,55,19,2,,435
"Conviviente (009)",1192,16,483,374,139,32,12,4,,,132
"Separado(a) (010)",157,3,44,57,20,11,3,2,,,17
"Casado(a) (011)",1101,19,448,319,111,54,21,9,1,,119
"Viudo(a) (012)",311,7,124,73,36,9,14,3,1,,44
"Divorciado(a) (013)",17,,6,4,4,,1,1,,,1
"Soltero(a) (014)",194,1,24,27,14,2,4,,,,122
,,,,,,,,,,,
"RURAL (016)",7825,105,3491,2439,595,179,69,48,17,,882
"Conviviente (017)",3014,46,1376,931,188,64,22,11,5,,371
"Separado(a) (018)",199,6,87,57,21,4,,2,,,22
"Casado(a) (019)",3386,43,1576,1099,270,78,31,22,8,,259
"Viudo(a) (020)",1068,10,426,333,107,30,15,13,4,,130
"Divorciado(a) (021)",34,,14,13,3,,,,,,4
"Soltero(a) (022)",124,,12,6,6,3,1,,,,96
