"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia PUNO (000)",92943,86121,66374,7584,12163,6822,338,1071,5118,295
"Casa independiente (001)",81267,75136,59698,6552,8886,6131,246,1056,4574,255
"Departamento en edificio (002)",1292,1212,1086,104,22,80,43,9,25,3
"Vivienda en quinta (003)",391,365,320,39,6,26,24,2,,
"Vivienda en casa de vecindad (004)",1540,1495,1329,152,14,45,25,4,14,2
"Choza o cabaña (005)",8280,7804,3882,696,3226,476,,,446,30
"Vivienda improvisada (006)",131,67,17,41,9,64,,,59,5
"Local no dest.para hab. humana (007)",32,32,32,,,,,,,
"Otro tipo (008)",10,10,10,,,,,,,
,,,,,,,,,,
"URBANA (009)",44993,41876,36907,3911,1058,3117,320,695,2010,92
"Casa independiente (010)",41604,38702,34120,3575,1007,2902,228,680,1912,82
"Departamento en edificio (011)",1292,1212,1086,104,22,80,43,9,25,3
"Vivienda en quinta (012)",391,365,320,39,6,26,24,2,,
"Vivienda en casa de vecindad (013)",1540,1495,1329,152,14,45,25,4,14,2
"Vivienda improvisada (015)",131,67,17,41,9,64,,,59,5
"Local no dest.para hab. humana (016)",28,28,28,,,,,,,
"Otro tipo (017)",7,7,7,,,,,,,
,,,,,,,,,,
"RURAL (018)",47950,44245,29467,3673,11105,3705,18,376,3108,203
"Casa independiente (019)",39663,36434,25578,2977,7879,3229,18,376,2662,173
"Choza o cabaña (023)",8280,7804,3882,696,3226,476,,,446,30
"Local no dest.para hab. humana (025)",4,4,4,,,,,,,
"Otro tipo (026)",3,3,3,,,,,,,
