"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUAURA (000)",3360,32,1774,940,513,101
"Sin nivel (001)",81,2,19,25,21,14
"Educación inicial (002)",4,1,1,2,,
"Primaria (003)",502,10,136,141,155,60
"Secundaria (004)",1610,19,938,437,198,18
"Superior no univ. incompleta (005)",157,,99,38,18,2
"Superior no univ. completa (006)",162,,99,38,24,1
"Superior univ. incompleta (007)",331,,244,61,25,1
"Superior univ. completa (008)",513,,238,198,72,5
"Hombres (010)",2141,21,1060,590,380,90
"Sin nivel (011)",49,2,11,12,11,13
"Educación inicial (012)",4,1,1,2,,
"Primaria (013)",359,7,88,91,119,54
"Secundaria (014)",1106,11,603,318,160,14
"Superior no univ. incompleta (015)",91,,55,19,15,2
"Superior no univ. completa (016)",82,,52,15,14,1
"Superior univ. incompleta (017)",204,,148,37,18,1
"Superior univ. completa (018)",246,,102,96,43,5
"Mujeres (020)",1219,11,714,350,133,11
"Sin nivel (021)",32,,8,13,10,1
"Primaria (023)",143,3,48,50,36,6
"Secundaria (024)",504,8,335,119,38,4
"Superior no univ. incompleta (025)",66,,44,19,3,
"Superior no univ. completa (026)",80,,47,23,10,
"Superior univ. incompleta (027)",127,,96,24,7,
"Superior univ. completa (028)",267,,136,102,29,
,,,,,,
"Area Urbana (030)",3073,27,1616,867,477,86
"Sin nivel (031)",58,2,17,16,13,10
"Educación inicial (032)",4,1,1,2,,
"Primaria (033)",430,6,114,120,140,50
"Secundaria (034)",1471,18,844,405,187,17
"Superior no univ. incompleta (035)",151,,95,37,17,2
"Superior no univ. completa (036)",149,,87,38,23,1
"Superior univ. incompleta (037)",319,,233,60,25,1
"Superior univ. completa (038)",491,,225,189,72,5
"Hombres (040)",1936,18,959,533,351,75
"Sin nivel (041)",36,2,9,9,7,9
"Educación inicial (042)",4,1,1,2,,
"Primaria (043)",298,4,74,71,105,44
"Secundaria (044)",1004,11,539,291,150,13
"Superior no univ. incompleta (045)",87,,53,18,14,2
"Superior no univ. completa (046)",76,,46,15,14,1
"Superior univ. incompleta (047)",195,,139,37,18,1
"Superior univ. completa (048)",236,,98,90,43,5
"Mujeres (050)",1137,9,657,334,126,11
"Sin nivel (051)",22,,8,7,6,1
"Primaria (053)",132,2,40,49,35,6
"Secundaria (054)",467,7,305,114,37,4
"Superior no univ. incompleta (055)",64,,42,19,3,
"Superior no univ. completa (056)",73,,41,23,9,
"Superior univ. incompleta (057)",124,,94,23,7,
"Superior univ. completa (058)",255,,127,99,29,
,,,,,,
"Area Rural (060)",287,5,158,73,36,15
"Sin nivel (061)",23,,2,9,8,4
"Primaria (063)",72,4,22,21,15,10
"Secundaria (064)",139,1,94,32,11,1
"Superior no univ. incompleta (065)",6,,4,1,1,
"Superior no univ. completa (066)",13,,12,,1,
"Superior univ. incompleta (067)",12,,11,1,,
"Superior univ. completa (068)",22,,13,9,,
"Hombres (070)",205,3,101,57,29,15
"Sin nivel (071)",13,,2,3,4,4
"Primaria (073)",61,3,14,20,14,10
"Secundaria (074)",102,,64,27,10,1
"Superior no univ. incompleta (075)",4,,2,1,1,
"Superior no univ. completa (076)",6,,6,,,
"Superior univ. incompleta (077)",9,,9,,,
"Superior univ. completa (078)",10,,4,6,,
"Mujeres (080)",82,2,57,16,7,
"Sin nivel (081)",10,,,6,4,
"Primaria (083)",11,1,8,1,1,
"Secundaria (084)",37,1,30,5,1,
"Superior no univ. incompleta (085)",2,,2,,,
"Superior no univ. completa (086)",7,,6,,1,
"Superior univ. incompleta (087)",3,,2,1,,
"Superior univ. completa (088)",12,,9,3,,
