"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PACASMAYO (000)",37334,35531,10031,5770,5987,4659,4804,2344,1181,755,1803,86264
"De 12 a 14 años (001)",3048,3031,3015,14,2,,,,,,17,18
"De 15 a 19 años (002)",4513,4417,3859,495,49,11,3,,,,96,638
"De 20 a 24 años (003)",3817,3330,1345,1393,483,92,15,2,,,487,2714
"De 25 a 29 años (004)",3795,3364,518,1285,1037,402,116,6,,,431,5094
"De 30 a 34 años (005)",3635,3415,298,853,1199,679,343,37,6,,220,7027
"De 35 a 39 años (006)",3521,3376,190,527,1038,878,604,116,19,4,145,8761
"De 40 a 44 años (007)",3132,3016,152,341,769,786,723,196,43,6,116,9030
"De 45 a 49 años (008)",2765,2685,143,270,515,635,719,272,108,23,80,9235
"De 50 y más años (009)",9108,8897,511,592,895,1176,2281,1715,1005,722,211,43747
"PEA (010)",9189,8459,1834,1691,1747,1331,1148,443,185,80,730,19450
"De 12 a 14 años (011)",92,91,89,2,,,,,,,1,2
"De 15 a 19 años (012)",616,603,524,69,8,1,1,,,,13,92
"De 20 a 24 años (013)",1003,816,435,280,85,13,3,,,,187,502
"De 25 a 29 años (014)",1185,966,273,342,233,87,31,,,,219,1199
"De 30 a 34 años (015)",1182,1071,163,315,333,171,77,8,4,,111,1905
"De 35 a 39 años (016)",1287,1219,92,219,360,317,184,39,6,2,68,2988
"De 40 a 44 años (017)",1139,1088,69,172,285,269,232,53,7,1,51,2959
"De 45 a 49 años (018)",951,918,58,133,203,198,199,82,36,9,33,2919
"De 50 y más años (019)",1734,1687,131,159,240,275,421,261,132,68,47,6884
"Ocupada (020)",8715,8054,1650,1602,1695,1302,1116,431,181,77,661,18887
"De 12 a 14 años (021)",79,78,76,2,,,,,,,1,2
