"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHACHAPOYAS (000)",46805,12448,7866,1620,25022
"Quechua (001)",114,21,12,2,81
"Aymara (002)",13,4,,1,8
"Asháninka (003)",5,1,1,2,1
"Otra lengua nativa (004)",38,7,1,,30
"Castellano (005)",46467,12379,7846,1604,24787
"Idioma Extranjero (006)",21,,1,11,9
"Es Sordomudo/a (007)",147,36,5,,106
"Hombres (009)",22957,5610,3624,958,12845
"Quechua (010)",45,9,7,2,29
"Aymara (011)",7,2,,,5
"Asháninka (012)",3,1,1,1,
"Otra lengua nativa (013)",16,,,,16
"Castellano (014)",22810,5582,3613,949,12744
"Idioma Extranjero (015)",11,,1,6,4
"Es Sordomudo/a (016)",65,16,2,,47
"Mujeres (018)",23848,6838,4242,662,12177
"Quechua (019)",69,12,5,,52
"Aymara (020)",6,2,,1,3
"Asháninka (021)",2,,,1,1
"Otra lengua nativa (022)",22,7,1,,14
"Castellano (023)",23657,6797,4233,655,12043
"Idioma Extranjero (024)",10,,,5,5
"Es Sordomudo/a (025)",82,20,3,,59
,,,,,
"URBANA (027)",32519,6959,7346,1514,16849
"Quechua (028)",92,15,12,2,65
"Aymara (029)",10,3,,1,6
"Asháninka (030)",5,1,1,2,1
"Otra lengua nativa (031)",38,7,1,,30
"Castellano (032)",32273,6913,7328,1498,16681
"Idioma Extranjero (033)",20,,1,11,8
"Es Sordomudo/a (034)",81,20,3,,58
"Hombres (036)",15587,3017,3361,878,8411
"Quechua (037)",38,7,7,2,24
"Aymara (038)",5,1,,,4
"Asháninka (039)",3,1,1,1,
"Otra lengua nativa (040)",16,,,,16
"Castellano (041)",15482,2998,3352,869,8341
"Idioma Extranjero (042)",10,,1,6,3
"Es Sordomudo/a (043)",33,10,,,23
"Mujeres (045)",16932,3942,3985,636,8438
"Quechua (046)",54,8,5,,41
"Aymara (047)",5,2,,1,2
"Asháninka (048)",2,,,1,1
"Otra lengua nativa (049)",22,7,1,,14
"Castellano (050)",16791,3915,3976,629,8340
"Idioma Extranjero (051)",10,,,5,5
"Es Sordomudo/a (052)",48,10,3,,35
,,,,,
"RURAL (054)",14286,5489,520,106,8173
"Quechua (055)",22,6,,,16
"Aymara (056)",3,1,,,2
"Castellano (059)",14194,5466,518,106,8106
"Idioma Extranjero (060)",1,,,,1
"Es Sordomudo/a (061)",66,16,2,,48
"Hombres (063)",7370,2593,263,80,4434
"Quechua (064)",7,2,,,5
"Aymara (065)",2,1,,,1
"Castellano (068)",7328,2584,261,80,4403
"Idioma Extranjero (069)",1,,,,1
"Es Sordomudo/a (070)",32,6,2,,24
"Mujeres (072)",6916,2896,257,26,3739
"Quechua (073)",15,4,,,11
"Aymara (074)",1,,,,1
"Castellano (077)",6866,2882,257,26,3703
"Es Sordomudo/a (079)",34,10,,,24
