"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",11678,563,6292,2384,568,233,133,37,4,,1464
"Conviviente (001)",6522,382,3731,1200,253,87,50,10,1,,808
"Separado(a) (002)",381,15,204,86,24,12,4,3,,,33
"Casado(a) (003)",3533,114,1851,848,230,109,62,17,,,302
"Viudo(a) (004)",478,25,232,103,26,12,12,5,3,,60
"Divorciado(a) (005)",23,4,7,6,2,,1,,,,3
"Soltero(a) (006)",741,23,267,141,33,13,4,2,,,258
,,,,,,,,,,,
"URBANA (008)",3783,131,1910,885,209,83,47,13,1,,504
"Conviviente (009)",2021,82,1091,451,98,28,20,4,,,247
"Separado(a) (010)",153,5,78,32,8,7,2,2,,,19
"Casado(a) (011)",1036,27,523,269,74,35,17,4,,,87
"Viudo(a) (012)",170,7,77,43,8,6,5,2,1,,21
"Divorciado(a) (013)",8,2,2,2,,,1,,,,1
"Soltero(a) (014)",395,8,139,88,21,7,2,1,,,129
,,,,,,,,,,,
"RURAL (016)",7895,432,4382,1499,359,150,86,24,3,,960
"Conviviente (017)",4501,300,2640,749,155,59,30,6,1,,561
"Separado(a) (018)",228,10,126,54,16,5,2,1,,,14
"Casado(a) (019)",2497,87,1328,579,156,74,45,13,,,215
"Viudo(a) (020)",308,18,155,60,18,6,7,3,2,,39
"Divorciado(a) (021)",15,2,5,4,2,,,,,,2
"Soltero(a) (022)",346,15,128,53,12,6,2,1,,,129
