"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CHINCHA (000)",75531,69678,18550,11307,11935,9434,10245,4554,3653,5853
"Católica (001)",65088,59930,15907,9858,10459,8192,8727,3767,3020,5158
"Cristiana/Evangélica (002)",7748,7282,1951,1040,1077,908,1178,626,502,466
"Otra (003)",1909,1742,470,268,267,237,263,137,100,167
"Ninguna (004)",786,724,222,141,132,97,77,24,31,62
,,,,,,,,,,
"URBANA (006)",67390,62152,16565,10155,10816,8561,9097,3959,2999,5238
"Católica (007)",57746,53163,14097,8824,9432,7389,7721,3248,2452,4583
"Cristiana/Evangélica (008)",7072,6640,1799,949,1002,854,1053,561,422,432
"Otra (009)",1835,1672,456,257,258,226,251,128,96,163
"Ninguna (010)",737,677,213,125,124,92,72,22,29,60
,,,,,,,,,,
"RURAL (012)",8141,7526,1985,1152,1119,873,1148,595,654,615
"Católica (013)",7342,6767,1810,1034,1027,803,1006,519,568,575
"Cristiana/Evangélica (014)",676,642,152,91,75,54,125,65,80,34
"Otra (015)",74,70,14,11,9,11,12,9,4,4
"Ninguna (016)",49,47,9,16,8,5,5,2,2,2
