"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CASTROVIRREYNA (000)",10627,3204,7423
"Casa independiente (001)",8942,2971,5971
"Departamento en edificio (002)",2,2,
"Vivienda en quinta (003)",14,14,
"Vivienda en casa de vecindad (004)",102,102,
"Choza o cabaña (005)",1436,,1436
"Vivienda improvisada (006)",18,18,
"Local no dest.para hab. humana (007)",9,6,3
"Otro tipo (008)",104,91,13
