"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHUCUITO (000)",124979,2094,38070,35024,22390,17921,9480
"Casa independiente (001)",112590,1858,34399,31170,20219,16277,8667
"Departamento en edificio (002)",138,1,39,40,39,15,4
"Vivienda en quinta (003)",89,3,21,29,19,11,6
"Vivienda en casa de vecindad (004)",1004,16,293,402,208,67,18
"Choza o cabaña (005)",11089,216,3297,3358,1892,1542,784
"Vivienda improvisada (006)",5,,3,2,,,
"Local no destinado para hab.humana (007)",62,,18,23,13,7,1
"Otro tipo (008)",2,,,,,2,
,,,,,,,
"URBANA (009)",34521,572,10354,10987,6810,4285,1513
"Casa independiente (010)",33244,552,9986,10498,6536,4188,1484
"Departamento en edificio (011)",138,1,39,40,39,15,4
"Vivienda en quinta (012)",89,3,21,29,19,11,6
"Vivienda en casa de vecindad (013)",1004,16,293,402,208,67,18
"Vivienda improvisada (015)",5,,3,2,,,
"Local no destinado para hab.humana (016)",40,,12,16,8,3,1
"Otro tipo (017)",1,,,,,1,
,,,,,,,
"RURAL (018)",90458,1522,27716,24037,15580,13636,7967
"Casa independiente (019)",79346,1306,24413,20672,13683,12089,7183
"Choza o cabaña (023)",11089,216,3297,3358,1892,1542,784
"Local no destinado para hab.humana (025)",22,,6,7,5,4,
"Otro tipo (026)",1,,,,,1,
