"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia YUNGUYO (000)",47148,668,13599,11296,8508,8390,4687
"Casa independiente (001)",46455,655,13405,11162,8390,8256,4587
"Departamento en edificio (002)",32,,11,2,12,7,
"Vivienda en quinta (003)",61,2,22,10,16,9,2
"Vivienda en casa de vecindad (004)",58,2,27,10,16,3,
"Choza o cabaña (005)",527,9,132,106,69,113,98
"Local no destinado para hab.humana (007)",11,,2,4,3,2,
"Otro tipo (008)",4,,,2,2,,
,,,,,,,
"URBANA (009)",17145,251,4995,4416,3562,2778,1143
"Casa independiente (010)",16981,247,4933,4388,3514,2758,1141
"Departamento en edificio (011)",32,,11,2,12,7,
"Vivienda en quinta (012)",61,2,22,10,16,9,2
"Vivienda en casa de vecindad (013)",58,2,27,10,16,3,
"Local no destinado para hab.humana (016)",9,,2,4,2,1,
"Otro tipo (017)",4,,,2,2,,
,,,,,,,
"RURAL (018)",30003,417,8604,6880,4946,5612,3544
"Casa independiente (019)",29474,408,8472,6774,4876,5498,3446
"Choza o cabaña (023)",527,9,132,106,69,113,98
"Local no destinado para hab.humana (025)",2,,,,1,1,
