"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHUCUITO (000)",118010,15664,2685,43433,45102,3846,3123,1756,2401
"Jefe o Jefa (001)",33639,4160,12,12586,12684,1075,1451,434,1237
"Esposa(o)/ compa¤era(o) (002)",18838,3045,15,8044,6584,314,435,124,277
"Hijo(a)/ hijastro(a) (003)",47320,5691,2206,16961,18367,1774,851,881,589
"Yerno/ nuera (004)",1662,15,1,301,1107,88,73,32,45
"Nieto(a) (005)",3560,802,279,1445,900,61,16,40,17
"Padres/ suegros (006)",1161,652,,410,87,3,6,3,
"Otro(a) pariente (007)",9002,1041,156,3043,3908,373,177,182,122
"Trabajador(a) del hogar (008)",202,9,,61,121,8,1,1,1
"Pensionista (009)",36,2,,8,16,3,1,4,2
"Otro(a) no pariente (010)",2590,247,16,574,1328,147,112,55,111
"Hombres (012)",59905,5644,1302,20521,25073,2394,2081,1190,1700
"Jefe o Jefa (013)",24270,1437,5,8851,10371,897,1242,369,1098
"Esposa(o)/ compa¤era(o) (014)",1036,73,1,282,517,39,63,26,35
"Hijo(a)/ hijastro(a) (015)",24933,2894,1070,8369,10088,1046,505,585,376
"Yerno/ nuera (016)",711,6,1,87,478,42,49,21,27
"Nieto(a) (017)",1892,422,135,757,497,41,8,25,7
"Padres/ suegros (018)",487,193,,224,60,3,5,2,
"Otro(a) pariente (019)",4890,473,84,1590,2205,226,120,117,75
"Trabajador(a) del hogar (020)",50,1,,15,29,4,1,,
"Pensionista (021)",27,1,,4,12,3,1,4,2
"Otro(a) no pariente (022)",1609,144,6,342,816,93,87,41,80
"Mujeres (024)",58105,10020,1383,22912,20029,1452,1042,566,701
"Jefe o Jefa (025)",9369,2723,7,3735,2313,178,209,65,139
"Esposa(o)/ compa¤era(o) (026)",17802,2972,14,7762,6067,275,372,98,242
"Hijo(a)/ hijastro(a) (027)",22387,2797,1136,8592,8279,728,346,296,213
"Yerno/ nuera (028)",951,9,,214,629,46,24,11,18
"Nieto(a) (029)",1668,380,144,688,403,20,8,15,10
"Padres/ suegros (030)",674,459,,186,27,,1,1,
"Otro(a) pariente (031)",4112,568,72,1453,1703,147,57,65,47
"Trabajador(a) del hogar (032)",152,8,,46,92,4,,1,1
"Pensionista (033)",9,1,,4,4,,,,
"Otro(a) no pariente (034)",981,103,10,232,512,54,25,14,31
,,,,,,,,,
"URBANA (036)",32570,3267,761,9584,13230,1799,1611,918,1400
"Jefe o Jefa (037)",8453,523,3,2165,3584,508,740,214,716
"Esposa(o)/ compa¤era(o) (038)",4891,407,4,1630,2105,202,269,74,200
"Hijo(a)/ hijastro(a) (039)",12644,1525,615,4126,4611,654,375,432,306
"Yerno/ nuera (040)",425,2,,46,256,50,31,14,26
"Nieto(a) (041)",663,168,70,234,136,26,6,13,10
"Padres/ suegros (042)",349,160,,140,42,,5,2,
"Otro(a) pariente (043)",3378,319,63,902,1586,234,93,118,63
"Trabajador(a) del hogar (044)",145,3,,30,105,4,1,1,1
