"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CUTERVO (000)",48750,46942,14656,6118,5553,4212,5836,4195,3082,3290,1808,146345
"De 12 a 14 años (001)",5702,5663,5637,24,2,,,,,,39,28
"De 15 a 19 años (002)",6794,6632,5651,816,151,12,2,,,,162,1162
"De 20 a 24 años (003)",5341,4829,1594,1871,1000,294,67,3,,,512,5050
"De 25 a 29 años (004)",5024,4634,558,1358,1368,779,514,52,5,,390,8988
"De 30 a 34 años (005)",4470,4297,264,705,1059,931,993,280,52,13,173,12324
"De 35 a 39 años (006)",4339,4195,204,461,744,790,1152,585,209,50,144,15472
"De 40 a 44 años (007)",3608,3489,139,238,440,517,935,701,365,154,119,16054
"De 45 a 49 años (008)",3101,3036,116,162,268,330,689,659,471,341,65,16793
"De 50 y más años (009)",10371,10167,493,483,521,559,1484,1915,1980,2732,204,70474
"PEA (010)",7818,7294,1775,1312,1179,858,944,530,370,326,524,20635
"De 12 a 14 años (011)",183,178,176,2,,,,,,,5,2
"De 15 a 19 años (012)",824,796,693,82,20,1,,,,,28,125
"De 20 a 24 años (013)",968,820,381,267,129,34,9,,,,148,666
"De 25 a 29 años (014)",1054,904,199,335,212,95,54,8,1,,150,1333
"De 30 a 34 años (015)",967,909,98,236,247,161,127,33,5,2,58,2031
"De 35 a 39 años (016)",997,942,64,160,223,192,211,68,17,7,55,2778
"De 40 a 44 años (017)",810,776,43,77,162,162,175,84,56,17,34,2847
"De 45 a 49 años (018)",651,637,36,55,93,98,148,106,65,36,14,2821
"De 50 y más años (019)",1364,1332,85,98,93,115,220,231,226,264,32,8032
"Ocupada (020)",7400,6945,1564,1247,1150,840,936,518,365,325,455,20290
"De 12 a 14 años (021)",153,148,147,1,,,,,,,5,1
