"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANTA (000)",4949,4773,1203,706,698,588,752,428,226,172,176,13786
"De 12 a 14 años (001)",430,427,427,,,,,,,,3,
"De 15 a 19 años (002)",540,529,442,75,11,,1,,,,11,101
"De 20 a 24 años (003)",521,472,147,235,69,18,2,1,,,49,442
"De 25 a 29 años (004)",459,429,35,152,155,70,17,,,,30,746
"De 30 a 34 años (005)",438,422,30,75,142,101,64,9,1,,16,1003
"De 35 a 39 años (006)",413,399,15,37,93,101,120,27,5,1,14,1265
"De 40 a 44 años (007)",356,343,16,20,57,74,106,56,8,6,13,1322
"De 45 a 49 años (008)",318,311,13,25,41,61,90,47,26,8,7,1294
"De 50 y más años (009)",1474,1441,78,87,130,163,352,288,186,157,33,7613
"PEA (010)",1957,1867,304,323,329,262,329,183,85,52,90,5690
"De 12 a 14 años (011)",25,25,25,,,,,,,,,
"De 15 a 19 años (012)",120,116,97,15,4,,,,,,4,23
"De 20 a 24 años (013)",222,195,82,86,18,7,1,1,,,27,154
"De 25 a 29 años (014)",210,192,24,82,58,23,5,,,,18,290
"De 30 a 34 años (015)",244,234,25,49,80,51,24,4,1,,10,496
"De 35 a 39 años (016)",231,221,11,23,54,52,62,17,2,,10,678
"De 40 a 44 años (017)",182,176,3,13,34,36,55,28,3,4,6,685
"De 45 a 49 años (018)",178,172,7,16,30,35,49,21,8,6,6,664
"De 50 y más años (019)",545,536,30,39,51,58,133,112,71,42,9,2700
"Ocupada (020)",1926,1840,293,318,326,258,329,182,82,52,86,5635
"De 12 a 14 años (021)",24,24,24,,,,,,,,,
"De 15 a 19 años (022)",113,110,92,14,4,,,,,,3,22
"De 20 a 24 años (023)",215,189,77,85,18,7,1,1,,,26,153
