"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ALTO AMAZONAS (000)",53424,9241,16561,13692,13930
"Asiste actualmente (001)",32058,3664,14305,10573,3516
"No asiste (002)",21366,5577,2256,3119,10414
"Hombres (004)",27025,4732,8377,7104,6812
"Asiste actualmente (005)",16722,1867,7270,5620,1965
"No asiste (006)",10303,2865,1107,1484,4847
"Mujeres (008)",26399,4509,8184,6588,7118
"Asiste actualmente (009)",15336,1797,7035,4953,1551
"No asiste (010)",11063,2712,1149,1635,5567
,,,,,
"URBANA (012)",30902,4759,8689,8766,8688
"Asiste actualmente (013)",21055,2461,8181,7534,2879
"No asiste (014)",9847,2298,508,1232,5809
"Hombres (016)",15498,2476,4402,4420,4200
"Asiste actualmente (017)",10831,1269,4142,3880,1540
"No asiste (018)",4667,1207,260,540,2660
"Mujeres (020)",15404,2283,4287,4346,4488
"Asiste actualmente (021)",10224,1192,4039,3654,1339
"No asiste (022)",5180,1091,248,692,3149
,,,,,
"RURAL (024)",22522,4482,7872,4926,5242
"Asiste actualmente (025)",11003,1203,6124,3039,637
"No asiste (026)",11519,3279,1748,1887,4605
"Hombres (028)",11527,2256,3975,2684,2612
"Asiste actualmente (029)",5891,598,3128,1740,425
"No asiste (030)",5636,1658,847,944,2187
"Mujeres (032)",10995,2226,3897,2242,2630
"Asiste actualmente (033)",5112,605,2996,1299,212
"No asiste (034)",5883,1621,901,943,2418
