"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia PISCO",,,,,,,,,
"Hogares (001)",31694,1036,364,197,147,96,97,68,29689
"Ocupantes presentes (002)",120061,3616,1113,620,561,395,405,389,112962
"Casa independiente",,,,,,,,,
"Hogares (004)",24781,875,287,155,114,80,80,63,23127
"Ocupantes presentes (005)",96650,3185,921,506,437,329,330,365,90577
"Departamento en edificio",,,,,,,,,
"Hogares (007)",203,10,6,3,2,4,,,178
"Ocupantes presentes (008)",661,23,19,11,8,16,,,584
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",243,11,7,3,3,,,,219
"Ocupantes presentes (011)",751,30,22,10,11,,,,678
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",163,5,4,,1,1,,,152
"Ocupantes presentes (014)",556,7,9,,4,5,,,531
"Choza o cabaña",,,,,,,,,
"Hogares (016)",517,8,1,,1,,,1,506
"Ocupantes presentes (017)",1850,19,3,,4,,,7,1817
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",5571,121,56,35,26,11,17,4,5301
"Ocupantes presentes (020)",18935,341,135,92,97,45,75,17,18133
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",46,1,,,,,,,45
"Ocupantes presentes (023)",133,5,,,,,,,128
"Otro tipo",,,,,,,,,
"Hogares (025)",170,5,3,1,,,,,161
"Ocupantes presentes (026)",525,6,4,1,,,,,514
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",27611,973,350,194,143,93,87,65,25706
"Ocupantes presentes (029)",104909,3417,1071,609,545,380,368,367,98152
"Casa independiente",,,,,,,,,
"Hogares (031)",21272,820,276,152,111,77,70,61,19705
"Ocupantes presentes (032)",83551,3005,885,495,425,314,293,350,77784
"Departamento en edificio",,,,,,,,,
"Hogares (034)",203,10,6,3,2,4,,,178
"Ocupantes presentes (035)",661,23,19,11,8,16,,,584
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",243,11,7,3,3,,,,219
"Ocupantes presentes (038)",751,30,22,10,11,,,,678
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",163,5,4,,1,1,,,152
"Ocupantes presentes (041)",556,7,9,,4,5,,,531
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",5571,121,56,35,26,11,17,4,5301
"Ocupantes presentes (047)",18935,341,135,92,97,45,75,17,18133
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",44,1,,,,,,,43
"Ocupantes presentes (050)",124,5,,,,,,,119
"Otro tipo",,,,,,,,,
"Hogares (052)",115,5,1,1,,,,,108
"Ocupantes presentes (053)",331,6,1,1,,,,,323
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",4083,63,14,3,4,3,10,3,3983
"Ocupantes presentes (056)",15152,199,42,11,16,15,37,22,14810
"Casa independiente",,,,,,,,,
"Hogares (058)",3509,55,11,3,3,3,10,2,3422
"Ocupantes presentes (059)",13099,180,36,11,12,15,37,15,12793
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",517,8,1,,1,,,1,506
"Ocupantes presentes (071)",1850,19,3,,4,,,7,1817
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",2,,,,,,,,2
"Ocupantes presentes (077)",9,,,,,,,,9
"Otro tipo",,,,,,,,,
"Hogares (079)",55,,2,,,,,,53
"Ocupantes presentes (080)",194,,3,,,,,,191
