"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ASCOPE (000)",109529,11132,2855,33524,37595,5963,9243,3578,5639
"Jefe o Jefa (001)",28500,2472,14,9264,9963,1505,2653,706,1923
"Esposa(o)/ compa¤era(o) (002)",18108,1909,28,5724,6415,949,1887,291,905
"Hijo(a)/ hijastro(a) (003)",42154,3873,1818,12046,14494,2518,3423,1902,2080
"Yerno/ nuera (004)",2991,35,7,358,1474,252,487,136,242
"Nieto(a) (005)",8991,1545,773,3233,2468,337,222,298,115
"Padres/ suegros (006)",1086,477,,495,85,4,17,2,6
"Otro(a) pariente (007)",6581,731,195,2067,2240,342,477,213,316
"Trabajador(a) del hogar (008)",84,12,1,32,33,3,1,,2
"Pensionista (009)",109,8,2,29,53,5,7,3,2
"Otro(a) no pariente (010)",925,70,17,276,370,48,69,27,48
"Hombres (012)",54738,4306,1467,16629,20075,2961,4314,1986,3000
"Jefe o Jefa (013)",21535,997,11,6830,8264,1206,2076,570,1581
"Esposa(o)/ compa¤era(o) (014)",715,30,2,186,325,34,61,25,52
"Hijo(a)/ hijastro(a) (015)",21617,2019,937,6259,7753,1210,1490,999,950
"Yerno/ nuera (016)",1628,18,6,180,781,128,274,82,159
"Nieto(a) (017)",4636,795,404,1638,1314,155,112,156,62
"Padres/ suegros (018)",332,92,,189,38,2,7,2,2
"Otro(a) pariente (019)",3596,318,96,1128,1314,191,253,134,162
"Trabajador(a) del hogar (020)",10,,,4,5,,1,,
"Pensionista (021)",91,7,2,24,46,4,5,2,1
"Otro(a) no pariente (022)",578,30,9,191,235,31,35,16,31
"Mujeres (024)",54791,6826,1388,16895,17520,3002,4929,1592,2639
"Jefe o Jefa (025)",6965,1475,3,2434,1699,299,577,136,342
"Esposa(o)/ compa¤era(o) (026)",17393,1879,26,5538,6090,915,1826,266,853
"Hijo(a)/ hijastro(a) (027)",20537,1854,881,5787,6741,1308,1933,903,1130
"Yerno/ nuera (028)",1363,17,1,178,693,124,213,54,83
"Nieto(a) (029)",4355,750,369,1595,1154,182,110,142,53
"Padres/ suegros (030)",754,385,,306,47,2,10,,4
"Otro(a) pariente (031)",2985,413,99,939,926,151,224,79,154
"Trabajador(a) del hogar (032)",74,12,1,28,28,3,,,2
"Pensionista (033)",18,1,,5,7,1,2,1,1
"Otro(a) no pariente (034)",347,40,8,85,135,17,34,11,17
,,,,,,,,,
"URBANA (036)",96291,9170,2531,28499,33465,5351,8458,3388,5429
"Jefe o Jefa (037)",25023,1979,11,7789,8927,1360,2439,656,1862
"Esposa(o)/ compa¤era(o) (038)",15686,1482,25,4697,5736,851,1731,284,880
"Hijo(a)/ hijastro(a) (039)",36847,3246,1589,10256,12666,2224,3083,1805,1978
"Yerno/ nuera (040)",2704,29,6,297,1326,228,454,125,239
"Nieto(a) (041)",8269,1367,713,2963,2292,321,213,292,108
"Padres/ suegros (042)",931,391,,436,77,3,16,2,6
"Otro(a) pariente (043)",5842,602,167,1780,2025,313,451,195,309
