"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PADRE ABAD (000)",48740,1266,16611,13820,10179,5448,1416
"Jefe o Jefa (001)",12269,,48,2747,5359,3320,795
"Esposa(o) / compañera(o) (002)",7456,,29,2583,3233,1382,229
"Hijo(a) / hijastro(a) (003)",19830,935,13328,5107,399,60,1
"Yerno / nuera (004)",522,,14,416,86,5,1
"Nieto(a) (005)",1625,202,1288,130,5,,
"Padres / suegros (006)",500,,,1,32,194,273
"Otro(a) pariente (007)",4860,115,1713,1946,699,307,80
"Trabajador(a) del hogar (008)",133,,14,90,20,7,2
"Pensionistas (009)",99,,4,59,25,11,
"Otro(a) no pariente (010)",1446,14,173,741,321,162,35
"Hombres (011)",26495,668,8623,7366,5608,3370,860
"Jefe o Jefa (012)",9786,,24,2063,4304,2758,637
"Esposa(o) / compañera(o) (013)",580,,10,179,249,120,22
"Hijo(a) / hijastro(a) (014)",10876,502,6926,3145,262,40,1
"Yerno / nuera (015)",230,,6,159,63,2,
"Nieto(a) (016)",848,101,666,77,4,,
"Padres / suegros (017)",233,,,,16,90,127
"Otro(a) pariente (018)",2849,60,890,1210,433,209,47
"Trabajador(a) del hogar (019)",32,,5,14,8,4,1
"Pensionistas (020)",66,,,38,17,11,
"Otro(a) no pariente (021)",995,5,96,481,252,136,25
"Mujeres (022)",22245,598,7988,6454,4571,2078,556
"Jefe o Jefa (023)",2483,,24,684,1055,562,158
"Esposa(o) / compañera(o) (024)",6876,,19,2404,2984,1262,207
"Hijo(a) / hijastro(a) (025)",8954,433,6402,1962,137,20,
"Yerno / nuera (026)",292,,8,257,23,3,1
"Nieto(a) (027)",777,101,622,53,1,,
"Padres / suegros (028)",267,,,1,16,104,146
"Otro(a) pariente (029)",2011,55,823,736,266,98,33
"Trabajador(a) del hogar (030)",101,,9,76,12,3,1
"Pensionistas (031)",33,,4,21,8,,
"Otro(a) no pariente (032)",451,9,77,260,69,26,10
,,,,,,,
"URBANA (033)",24907,591,8286,7346,5414,2619,651
"Jefe o Jefa (034)",5906,,25,1284,2725,1546,326
"Esposa(o) / compañera(o) (035)",3677,,16,1191,1715,657,98
"Hijo(a) / hijastro(a) (036)",10062,428,6571,2797,229,37,
"Yerno / nuera (037)",307,,6,238,61,2,
"Nieto(a) (038)",936,112,753,68,3,,
"Padres / suegros (039)",286,,,,17,102,167
"Otro(a) pariente (040)",2623,40,787,1153,424,178,41
"Trabajador(a) del hogar (041)",86,,10,59,15,1,1
"Pensionistas (042)",81,,4,50,20,7,
"Otro(a) no pariente (043)",943,11,114,506,205,89,18
"Hombres (044)",12833,298,4175,3648,2775,1570,367
"Jefe o Jefa (045)",4300,,7,859,1977,1210,247
"Esposa(o) / compañera(o) (046)",399,,7,113,179,86,14
"Hijo(a) / hijastro(a) (047)",5289,217,3333,1581,135,23,
"Yerno / nuera (048)",140,,3,90,46,1,
"Nieto(a) (049)",478,56,384,36,2,,
"Padres / suegros (050)",124,,,,8,47,69
"Otro(a) pariente (051)",1467,22,377,658,259,126,25
"Trabajador(a) del hogar (052)",13,,3,5,5,,
"Pensionistas (053)",52,,,31,14,7,
"Otro(a) no pariente (054)",571,3,61,275,150,70,12
"Mujeres (055)",12074,293,4111,3698,2639,1049,284
"Jefe o Jefa (056)",1606,,18,425,748,336,79
"Esposa(o) / compañera(o) (057)",3278,,9,1078,1536,571,84
"Hijo(a) / hijastro(a) (058)",4773,211,3238,1216,94,14,
"Yerno / nuera (059)",167,,3,148,15,1,
"Nieto(a) (060)",458,56,369,32,1,,
"Padres / suegros (061)",162,,,,9,55,98
"Otro(a) pariente (062)",1156,18,410,495,165,52,16
"Trabajador(a) del hogar (063)",73,,7,54,10,1,1
"Pensionistas (064)",29,,4,19,6,,
"Otro(a) no pariente (065)",372,8,53,231,55,19,6
,,,,,,,
"RURAL (066)",23833,675,8325,6474,4765,2829,765
"Jefe o Jefa (067)",6363,,23,1463,2634,1774,469
"Esposa(o) / compañera(o) (068)",3779,,13,1392,1518,725,131
"Hijo(a) / hijastro(a) (069)",9768,507,6757,2310,170,23,1
"Yerno / nuera (070)",215,,8,178,25,3,1
"Nieto(a) (071)",689,90,535,62,2,,
"Padres / suegros (072)",214,,,1,15,92,106
"Otro(a) pariente (073)",2237,75,926,793,275,129,39
"Trabajador(a) del hogar (074)",47,,4,31,5,6,1
"Pensionistas (075)",18,,,9,5,4,
"Otro(a) no pariente (076)",503,3,59,235,116,73,17
"Hombres (077)",13662,370,4448,3718,2833,1800,493
"Jefe o Jefa (078)",5486,,17,1204,2327,1548,390
"Esposa(o) / compañera(o) (079)",181,,3,66,70,34,8
"Hijo(a) / hijastro(a) (080)",5587,285,3593,1564,127,17,1
"Yerno / nuera (081)",90,,3,69,17,1,
"Nieto(a) (082)",370,45,282,41,2,,
"Padres / suegros (083)",109,,,,8,43,58
"Otro(a) pariente (084)",1382,38,513,552,174,83,22
"Trabajador(a) del hogar (085)",19,,2,9,3,4,1
"Pensionistas (086)",14,,,7,3,4,
"Otro(a) no pariente (087)",424,2,35,206,102,66,13
"Mujeres (088)",10171,305,3877,2756,1932,1029,272
"Jefe o Jefa (089)",877,,6,259,307,226,79
"Esposa(o) / compañera(o) (090)",3598,,10,1326,1448,691,123
"Hijo(a) / hijastro(a) (091)",4181,222,3164,746,43,6,
"Yerno / nuera (092)",125,,5,109,8,2,1
"Nieto(a) (093)",319,45,253,21,,,
"Padres / suegros (094)",105,,,1,7,49,48
"Otro(a) pariente (095)",855,37,413,241,101,46,17
"Trabajador(a) del hogar (096)",28,,2,22,2,2,
"Pensionistas (097)",4,,,2,2,,
