"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia MORROPON",,,,,,,,,
"Viviendas particulares (001)",19935,4304,4484,2637,3607,462,247,137,4057
"Ocupantes presentes (002)",83919,17917,18567,11034,15509,2014,1184,618,17076
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",19809,4273,4471,2606,3572,459,245,137,4046
"Ocupantes presentes (005)",83492,17800,18524,10925,15397,2002,1176,618,17050
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",24,,1,9,10,1,1,,2
"Ocupantes presentes (008)",94,,5,40,35,4,4,,6
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",28,1,3,4,13,2,,,5
"Ocupantes presentes (011)",78,1,11,12,37,8,,,9
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",31,2,2,15,7,,1,,4
"Ocupantes presentes (014)",95,11,6,42,21,,4,,11
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",27,27,,,,,,,
"Ocupantes presentes (017)",104,104,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",9,,7,2,,,,,
"Ocupantes presentes (020)",35,,21,14,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",7,1,,1,5,,,,
"Ocupantes presentes (023)",21,1,,1,19,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",14079,2813,3610,2430,2848,440,227,127,1584
"Ocupantes presentes (029)",59856,11617,14848,10210,12503,1931,1104,592,7051
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",13981,2810,3597,2399,2813,437,225,127,1573
"Ocupantes presentes (032)",59534,11605,14805,10101,12391,1919,1096,592,7025
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",24,,1,9,10,1,1,,2
"Ocupantes presentes (035)",94,,5,40,35,4,4,,6
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",28,1,3,4,13,2,,,5
"Ocupantes presentes (038)",78,1,11,12,37,8,,,9
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",31,2,2,15,7,,1,,4
"Ocupantes presentes (041)",95,11,6,42,21,,4,,11
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",9,,7,2,,,,,
"Ocupantes presentes (047)",35,,21,14,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",6,,,1,5,,,,
"Ocupantes presentes (050)",20,,,1,19,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",5856,1491,874,207,759,22,20,10,2473
"Ocupantes presentes (056)",24063,6300,3719,824,3006,83,80,26,10025
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",5828,1463,874,207,759,22,20,10,2473
"Ocupantes presentes (059)",23958,6195,3719,824,3006,83,80,26,10025
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",27,27,,,,,,,
"Ocupantes presentes (071)",104,104,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,1,,,,,,,
"Ocupantes presentes (077)",1,1,,,,,,,
"Otro tipo",,,,,,,,,
