"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CELENDIN (000)",32198,31167,9364,4181,3663,2861,4394,2925,3779,1031
"Católica (001)",23677,22884,6909,3146,2733,2153,3199,2113,2631,793
"Cristiana/Evangélica (002)",5963,5804,1628,719,659,523,856,602,817,159
"Otra (003)",1707,1658,538,188,169,129,235,150,249,49
"Ninguna (004)",851,821,289,128,102,56,104,60,82,30
,,,,,,,,,,
"URBANA (006)",8850,8497,2697,1329,1188,846,1110,638,689,353
"Católica (007)",6938,6653,2058,1071,981,682,865,493,503,285
"Cristiana/Evangélica (008)",1272,1232,395,178,140,111,179,106,123,40
"Otra (009)",474,452,182,46,48,39,51,30,56,22
"Ninguna (010)",166,160,62,34,19,14,15,9,7,6
,,,,,,,,,,
"RURAL (012)",23348,22670,6667,2852,2475,2015,3284,2287,3090,678
"Católica (013)",16739,16231,4851,2075,1752,1471,2334,1620,2128,508
"Cristiana/Evangélica (014)",4691,4572,1233,541,519,412,677,496,694,119
"Otra (015)",1233,1206,356,142,121,90,184,120,193,27
"Ninguna (016)",685,661,227,94,83,42,89,51,75,24
