"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SANTIAGO DE CHUCO (000)",1037,345,692
"De 14 a 29 años (001)",573,267,306
"De 30 a 44 años (002)",304,62,242
"De 45 a 64 años (003)",127,16,111
"De 65 y más años (004)",33,,33
"Hombres (005)",875,280,595
"De 14 a 29 años (006)",461,209,252
"De 30 a 44 años (007)",265,56,209
"De 45 a 64 años (008)",118,15,103
"De 65 y más años (009)",31,,31
"Mujeres (010)",162,65,97
"De 14 a 29 años (011)",112,58,54
"De 30 a 44 años (012)",39,6,33
"De 45 a 64 años (013)",9,1,8
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",538,159,379
"De 14 a 29 años (016)",283,120,163
"De 30 a 44 años (017)",168,27,141
"De 45 a 64 años (018)",69,12,57
"De 65 y más años (019)",18,,18
"Hombres (020)",454,124,330
"De 14 a 29 años (021)",230,91,139
"De 30 a 44 años (022)",142,22,120
"De 45 a 64 años (023)",66,11,55
"De 65 y más años (024)",16,,16
"Mujeres (025)",84,35,49
"De 14 a 29 años (026)",53,29,24
"De 30 a 44 años (027)",26,5,21
"De 45 a 64 años (028)",3,1,2
"De 65 y más años (029)",2,,2
,,,
"AREA RURAL (030)",499,186,313
"De 14 a 29 años (031)",290,147,143
"De 30 a 44 años (032)",136,35,101
"De 45 a 64 años (033)",58,4,54
"De 65 y más años (034)",15,,15
"Hombres (035)",421,156,265
"De 14 a 29 años (036)",231,118,113
"De 30 a 44 años (037)",123,34,89
"De 45 a 64 años (038)",52,4,48
"De 65 y más años (039)",15,,15
"Mujeres (040)",78,30,48
"De 14 a 29 años (041)",59,29,30
"De 30 a 44 años (042)",13,1,12
"De 45 a 64 años (043)",6,,6
