"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia AREQUIPA (000)",692506,81373,140205,147769,117095,85892,120172
"Católica (001)",604155,71044,119832,128214,102913,75703,106449
"Cristiana/Evangélica (002)",44765,5509,9416,9446,7540,5561,7293
"Otra (003)",26415,3208,5987,5677,4059,3026,4458
"Ninguna (004)",17171,1612,4970,4432,2583,1602,1972
"Hombres (006)",328369,40828,68286,69417,53543,39567,56728
"Católica (007)",284427,35565,57756,59615,46786,34751,49954
"Cristiana/Evangélica (008)",20167,2701,4383,4192,3217,2371,3303
"Otra (009)",12527,1603,2977,2676,1826,1352,2093
"Ninguna (010)",11248,959,3170,2934,1714,1093,1378
"Mujeres (012)",364137,40545,71919,78352,63552,46325,63444
"Católica (013)",319728,35479,62076,68599,56127,40952,56495
"Cristiana/Evangélica (014)",24598,2808,5033,5254,4323,3190,3990
"Otra (015)",13888,1605,3010,3001,2233,1674,2365
"Ninguna (016)",5923,653,1800,1498,869,509,594
,,,,,,,
"URBANA (018)",675754,79285,137115,144506,114316,83756,116776
"Católica (019)",589306,69186,117096,125327,100484,73803,103410
"Cristiana/Evangélica (020)",43449,5346,9182,9198,7298,5395,7030
"Otra (021)",26105,3174,5932,5619,3999,2987,4394
"Ninguna (022)",16894,1579,4905,4362,2535,1571,1942
"Hombres (024)",319243,39740,66591,67656,52050,38399,54807
"Católica (025)",276308,34591,56252,58041,45484,33713,48227
"Cristiana/Evangélica (026)",19508,2622,4261,4075,3095,2285,3170
"Otra (027)",12350,1586,2946,2647,1790,1329,2052
"Ninguna (028)",11077,941,3132,2893,1681,1072,1358
"Mujeres (030)",356511,39545,70524,76850,62266,45357,61969
"Católica (031)",312998,34595,60844,67286,55000,40090,55183
"Cristiana/Evangélica (032)",23941,2724,4921,5123,4203,3110,3860
"Otra (033)",13755,1588,2986,2972,2209,1658,2342
"Ninguna (034)",5817,638,1773,1469,854,499,584
,,,,,,,
"RURAL (036)",16752,2088,3090,3263,2779,2136,3396
"Católica (037)",14849,1858,2736,2887,2429,1900,3039
"Cristiana/Evangélica (038)",1316,163,234,248,242,166,263
"Otra (039)",310,34,55,58,60,39,64
"Ninguna (040)",277,33,65,70,48,31,30
"Hombres (042)",9126,1088,1695,1761,1493,1168,1921
"Católica (043)",8119,974,1504,1574,1302,1038,1727
"Cristiana/Evangélica (044)",659,79,122,117,122,86,133
"Otra (045)",177,17,31,29,36,23,41
"Ninguna (046)",171,18,38,41,33,21,20
"Mujeres (048)",7626,1000,1395,1502,1286,968,1475
"Católica (049)",6730,884,1232,1313,1127,862,1312
"Cristiana/Evangélica (050)",657,84,112,131,120,80,130
"Otra (051)",133,17,24,29,24,16,23
"Ninguna (052)",106,15,27,29,15,10,10
