"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PAITA (000)",34602,20193,4810,3344,6255
"Empleado (001)",6634,2217,895,1255,2267
"Obrero (002)",12444,4042,2507,1985,3910
"Trabajador independiente (003)",12513,11398,1115,,
"Empleador o patrono (004)",647,422,141,57,27
"Trabajador familiar no remunerado (005)",1757,1507,152,47,51
"Trabajador del hogar (006)",607,607,,,
"De 06 a 14 años (008)",459,393,52,7,7
"Empleado (009)",39,33,5,1,
"Obrero (010)",87,60,20,2,5
"Trabajador independiente (011)",131,122,9,,
"Trabajador familiar no remunerado (013)",176,152,18,4,2
"Trabajador del hogar (014)",26,26,,,
"De 15 a 29 años (016)",12820,6957,2060,1272,2531
"Empleado (017)",2570,1052,380,400,738
"Obrero (018)",5327,1594,1119,847,1767
"Trabajador independiente (019)",3591,3150,441,,
"Empleador o patrono (020)",140,87,36,9,8
"Trabajador familiar no remunerado (021)",867,749,84,16,18
"Trabajador del hogar (022)",325,325,,,
"De 30 a 44 años (024)",12602,6911,1816,1336,2539
"Empleado (025)",2601,743,335,538,985
"Obrero (026)",4599,1373,950,754,1522
"Trabajador independiente (027)",4593,4146,447,,
"Empleador o patrono (028)",262,162,61,29,10
"Trabajador familiar no remunerado (029)",390,330,23,15,22
"Trabajador del hogar (030)",157,157,,,
"De 45 a 64 años (032)",7470,4851,816,694,1109
"Empleado (033)",1343,357,167,303,516
"Obrero (034)",2217,885,390,362,580
"Trabajador independiente (035)",3379,3183,196,,
"Empleador o patrono (036)",208,141,42,18,7
"Trabajador familiar no remunerado (037)",235,197,21,11,6
"Trabajador del hogar (038)",88,88,,,
"De 65 y más años (040)",1251,1081,66,35,69
"Empleado (041)",81,32,8,13,28
"Obrero (042)",214,130,28,20,36
"Trabajador independiente (043)",819,797,22,,
"Empleador o patrono (044)",37,32,2,1,2
"Trabajador familiar no remunerado (045)",89,79,6,1,3
"Trabajador del hogar (046)",11,11,,,
,,,,,
"URBANA (048)",33112,19162,4675,3234,6041
"Empleado (049)",6487,2179,878,1226,2204
"Obrero (050)",11870,3779,2426,1905,3760
"Trabajador independiente (051)",11922,10839,1083,,
"Empleador o patrono (052)",645,420,141,57,27
"Trabajador familiar no remunerado (053)",1598,1355,147,46,50
