"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia URUBAMBA (000)",19685,13955,2525,1555,1650
"Empleado (001)",4380,1418,838,1014,1110
"Obrero (002)",2759,1279,488,476,516
"Trabajador independiente (003)",9804,8906,898,,
"Empleador o patrono (004)",362,255,57,36,14
"Trabajador familiar no remunerado (005)",1997,1714,244,29,10
"Trabajador del hogar (006)",383,383,,,
"De 06 a 14 años (008)",291,248,35,7,1
"Empleado (009)",16,16,,,
"Obrero (010)",23,16,4,3,
"Trabajador independiente (011)",44,41,3,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",174,141,28,4,1
"Trabajador del hogar (014)",33,33,,,
"De 15 a 29 años (016)",6239,4259,859,546,575
"Empleado (017)",1801,742,340,340,379
"Obrero (018)",1073,498,195,190,190
"Trabajador independiente (019)",2240,2021,219,,
"Empleador o patrono (020)",73,51,13,7,2
"Trabajador familiar no remunerado (021)",813,708,92,9,4
"Trabajador del hogar (022)",239,239,,,
"De 30 a 44 años (024)",7076,4811,937,638,690
"Empleado (025)",1718,451,340,442,485
"Obrero (026)",963,419,174,172,198
"Trabajador independiente (027)",3706,3369,337,,
"Empleador o patrono (028)",130,95,17,11,7
"Trabajador familiar no remunerado (029)",498,416,69,13,
"Trabajador del hogar (030)",61,61,,,
"De 45 a 64 años (032)",4767,3479,585,342,361
"Empleado (033)",781,188,146,219,228
"Obrero (034)",613,280,103,105,125
"Trabajador independiente (035)",2837,2565,272,,
"Empleador o patrono (036)",116,76,20,15,5
"Trabajador familiar no remunerado (037)",378,328,44,3,3
"Trabajador del hogar (038)",42,42,,,
"De 65 y más años (040)",1312,1158,109,22,23
"Empleado (041)",64,21,12,13,18
"Obrero (042)",87,66,12,6,3
"Trabajador independiente (043)",977,910,67,,
"Empleador o patrono (044)",42,32,7,3,
"Trabajador familiar no remunerado (045)",134,121,11,,2
"Trabajador del hogar (046)",8,8,,,
,,,,,
"URBANA (048)",11185,7197,1417,1253,1318
"Empleado (049)",3676,1140,699,887,950
"Obrero (050)",1562,646,247,319,350
"Trabajador independiente (051)",4688,4318,370,,
"Empleador o patrono (052)",263,187,33,30,13
"Trabajador familiar no remunerado (053)",707,617,68,17,5
"Trabajador del hogar (054)",289,289,,,
