"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LORETO (000)",50375,14911,16270,10423,6723,2048
"Sin nivel (001)",4490,992,1087,870,879,662
"Educación inicial (002)",954,921,24,9,,
"Primaria (003)",26574,11366,5337,4630,3997,1244
"Secundaria (004)",14560,1632,8360,3234,1229,105
"Superior no univ. incompleta (005)",1088,,608,358,110,12
"Superior no univ. completa (006)",1085,,414,491,175,5
"Superior univ. incompleta (007)",583,,228,240,107,8
"Superior univ. completa (008)",1041,,212,591,226,12
"PEA (010)",18954,500,6577,6562,4354,961
"Sin nivel (011)",1288,57,368,340,320,203
"Educación inicial (012)",18,4,9,5,,
"Primaria (013)",8107,364,2026,2494,2545,678
"Secundaria (014)",6584,75,3250,2252,947,60
"Superior no univ. incompleta (015)",699,,304,293,94,8
"Superior no univ. completa (016)",905,,320,430,153,2
"Superior univ. incompleta (017)",425,,121,204,96,4
"Superior univ. completa (018)",928,,179,544,199,6
"Ocupada (020)",17623,423,5858,6216,4189,937
"Sin nivel (021)",1100,28,299,276,300,197
"Educación inicial (022)",17,4,8,5,,
"Primaria (023)",7584,320,1795,2362,2444,663
"Secundaria (024)",6056,71,2881,2134,913,57
"Superior no univ. incompleta (025)",675,,285,289,93,8
"Superior no univ. completa (026)",870,,302,417,149,2
"Superior univ. incompleta (027)",407,,112,197,94,4
"Superior univ. completa (028)",914,,176,536,196,6
"Desocupada (030)",1331,77,719,346,165,24
"Sin nivel (031)",188,29,69,64,20,6
