"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHACHAPOYAS (000)",49700,14299,8255,1663,25638
"Menos de 1 año (001)",873,573,117,9,174
"De 1 a 14 años (002)",14980,8382,2448,336,3856
"De 15 a 29 años (003)",12961,2527,1258,325,8878
"De 30 a 44 años (004)",10027,1382,2227,422,6042
"De 45 a 64 años (005)",7378,975,1635,401,4403
"De 65 y mas años (006)",3481,460,570,170,2285
"Hombres (008)",24433,6553,3829,986,13148
"Menos de 1 año (009)",431,291,58,6,76
"De 1 a 14 años (010)",7585,4221,1260,179,1956
"De 15 a 29 años (011)",6386,1011,524,198,4664
"De 30 a 44 años (012)",4905,473,937,274,3244
"De 45 a 64 años (013)",3613,375,763,234,2257
"De 65 y mas años (014)",1513,182,287,95,951
"Mujeres (016)",25267,7746,4426,677,12490
"Menos de 1 año (017)",442,282,59,3,98
"De 1 a 14 años (018)",7395,4161,1188,157,1900
"De 15 a 29 años (019)",6575,1516,734,127,4214
"De 30 a 44 años (020)",5122,909,1290,148,2798
"De 45 a 64 años (021)",3765,600,872,167,2146
"De 65 y mas años (022)",1968,278,283,75,1334
,,,,,
"URBANA (024)",34343,7955,7698,1554,17289
"Menos de 1 año (025)",548,303,107,9,129
"De 1 a 14 años (026)",9743,4559,2284,323,2618
"De 15 a 29 años (027)",9363,1532,1148,293,6417
"De 30 a 44 años (028)",7227,770,2083,394,4025
"De 45 a 64 años (029)",5143,541,1544,377,2717
"De 65 y mas años (030)",2319,250,532,158,1383
"Hombres (032)",16495,3508,3546,903,8621
"Menos de 1 año (033)",257,149,51,6,51
"De 1 a 14 años (034)",4871,2265,1178,170,1289
"De 15 a 29 años (035)",4451,571,477,170,3244
"De 30 a 44 años (036)",3460,233,863,250,2137
"De 45 a 64 años (037)",2478,197,715,219,1363
"De 65 y mas años (038)",978,93,262,88,537
"Mujeres (040)",17848,4447,4152,651,8668
"Menos de 1 año (041)",291,154,56,3,78
"De 1 a 14 años (042)",4872,2294,1106,153,1329
"De 15 a 29 años (043)",4912,961,671,123,3173
"De 30 a 44 años (044)",3767,537,1220,144,1888
"De 45 a 64 años (045)",2665,344,829,158,1354
"De 65 y mas años (046)",1341,157,270,70,846
,,,,,
"RURAL (048)",15357,6344,557,109,8349
"Menos de 1 año (049)",325,270,10,,45
"De 1 a 14 años (050)",5237,3823,164,13,1238
"De 15 a 29 años (051)",3598,995,110,32,2461
"De 30 a 44 años (052)",2800,612,144,28,2017
"De 45 a 64 años (053)",2235,434,91,24,1686
"De 65 y mas años (054)",1162,210,38,12,902
"Hombres (056)",7938,3045,283,83,4527
"Menos de 1 año (057)",174,142,7,,25
"De 1 a 14 años (058)",2714,1956,82,9,667
"De 15 a 29 años (059)",1935,440,47,28,1420
"De 30 a 44 años (060)",1445,240,74,24,1107
"De 45 a 64 años (061)",1135,178,48,15,894
"De 65 y mas años (062)",535,89,25,7,414
"Mujeres (064)",7419,3299,274,26,3822
"Menos de 1 año (065)",151,128,3,,20
"De 1 a 14 años (066)",2523,1867,82,4,571
"De 15 a 29 años (067)",1663,555,63,4,1041
"De 30 a 44 años (068)",1355,372,70,4,910
"De 45 a 64 años (069)",1100,256,43,9,792
"De 65 y mas años (070)",627,121,13,5,488
