"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SANTA (000)",392074,6610,103822,106175,84656,63757,27054
"Casa independiente (001)",373504,6144,98102,100713,80399,61740,26406
"Departamento en edificio (002)",3342,72,821,895,868,485,201
"Vivienda en quinta (003)",1734,37,442,463,419,263,110
"Vivienda en casa de vecindad (004)",1408,31,338,417,295,240,87
"Choza o cabaña (005)",1053,21,318,285,217,170,42
"Vivienda improvisada (006)",10701,301,3736,3309,2368,796,191
"Local no destinado para hab.humana (007)",297,3,53,82,81,61,17
"Otro tipo (008)",35,1,12,11,9,2,
,,,,,,,
"URBANA (009)",366116,6164,95701,99451,79876,59899,25025
"Casa independiente (010)",348607,5719,90302,94277,75838,58052,24419
"Departamento en edificio (011)",3342,72,821,895,868,485,201
"Vivienda en quinta (012)",1734,37,442,463,419,263,110
"Vivienda en casa de vecindad (013)",1408,31,338,417,295,240,87
"Vivienda improvisada (015)",10701,301,3736,3309,2368,796,191
"Local no destinado para hab.humana (016)",289,3,50,79,79,61,17
"Otro tipo (017)",35,1,12,11,9,2,
,,,,,,,
"RURAL (018)",25958,446,8121,6724,4780,3858,2029
"Casa independiente (019)",24897,425,7800,6436,4561,3688,1987
"Choza o cabaña (023)",1053,21,318,285,217,170,42
"Local no destinado para hab.humana (025)",8,,3,3,2,,
