"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TAHUAMANU (000)",5541,2658,308,559,2016
"Empleado (001)",1262,190,100,179,793
"Obrero (002)",2205,468,149,369,1219
"Trabajador independiente (003)",1600,1562,38,,
"Empleador o patrono (004)",100,78,11,8,3
"Trabajador familiar no remunerado (005)",327,313,10,3,1
"Trabajador del hogar (006)",47,47,,,
"De 06 a 14 años (008)",58,56,1,1,
"Empleado (009)",1,1,,,
"Obrero (010)",10,10,,,
"Trabajador independiente (011)",6,5,1,,
"Trabajador familiar no remunerado (013)",38,37,,1,
"Trabajador del hogar (014)",3,3,,,
"De 15 a 29 años (016)",1902,855,122,229,696
"Empleado (017)",448,93,35,52,268
"Obrero (018)",882,216,64,176,426
"Trabajador independiente (019)",378,364,14,,
"Empleador o patrono (020)",14,11,2,,1
"Trabajador familiar no remunerado (021)",151,142,7,1,1
"Trabajador del hogar (022)",29,29,,,
"De 30 a 44 años (024)",2176,908,119,227,922
"Empleado (025)",547,75,37,82,353
"Obrero (026)",916,150,60,137,569
"Trabajador independiente (027)",583,568,15,,
"Empleador o patrono (028)",47,32,7,8,
"Trabajador familiar no remunerado (029)",72,72,,,
"Trabajador del hogar (030)",11,11,,,
"De 45 a 64 años (032)",1204,664,61,98,381
"Empleado (033)",256,19,28,43,166
"Obrero (034)",373,83,23,54,213
"Trabajador independiente (035)",484,478,6,,
"Empleador o patrono (036)",36,32,2,,2
"Trabajador familiar no remunerado (037)",52,49,2,1,
"Trabajador del hogar (038)",3,3,,,
"De 65 y más años (040)",201,175,5,4,17
"Empleado (041)",10,2,,2,6
"Obrero (042)",24,9,2,2,11
"Trabajador independiente (043)",149,147,2,,
"Empleador o patrono (044)",3,3,,,
"Trabajador familiar no remunerado (045)",14,13,1,,
"Trabajador del hogar (046)",1,1,,,
,,,,,
"URBANA (048)",3848,1528,244,422,1654
"Empleado (049)",1132,176,83,151,722
"Obrero (050)",1613,302,119,262,930
"Trabajador independiente (051)",855,828,27,,
"Empleador o patrono (052)",54,35,10,7,2
"Trabajador familiar no remunerado (053)",154,147,5,2,
"Trabajador del hogar (054)",40,40,,,
"De 06 a 14 años (056)",42,41,1,,
"Empleado (057)",1,1,,,
"Obrero (058)",10,10,,,
