"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia JULCAN (000)",32928,735,12437,7580,5745,4208,2223
"Casa independiente (001)",32552,719,12286,7494,5681,4178,2194
"Vivienda en casa de vecindad (004)",20,,9,5,3,,3
"Choza o cabaña (005)",356,16,142,81,61,30,26
,,,,,,,
"URBANA (009)",4829,97,1634,1056,989,743,310
"Casa independiente (010)",4809,97,1625,1051,986,743,307
"Vivienda en casa de vecindad (013)",20,,9,5,3,,3
,,,,,,,
"RURAL (018)",28099,638,10803,6524,4756,3465,1913
"Casa independiente (019)",27743,622,10661,6443,4695,3435,1887
"Choza o cabaña (023)",356,16,142,81,61,30,26
