"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUACAYBAMBA (000)",4780,4599,24,640,679,689,1231,838,394,104,181,19346
"De 12 a 14 años (001)",14,5,,4,1,,,,,,9,6
"De 15 a 19 años (002)",161,124,4,97,17,5,1,,,,37,150
"De 20 a 24 años (003)",488,455,2,222,156,58,16,1,,,33,780
"De 25 a 29 años (004)",541,508,2,106,157,140,92,9,2,,33,1300
"De 30 a 34 años (005)",646,627,3,67,108,150,225,62,10,2,19,2225
"De 35 a 39 años (006)",605,594,,32,61,86,239,136,35,5,11,2675
"De 40 a 44 años (007)",483,476,2,17,33,50,156,142,62,14,7,2509
"De 45 a 49 años (008)",357,354,,16,19,22,93,112,66,26,3,2115
"De 50 y más años (009)",1485,1456,11,79,127,178,409,376,219,57,29,7586
"PEA (010)",662,627,3,132,102,114,155,78,35,8,35,2240
"De 12 a 14 años (011)",1,1,,,1,,,,,,,2
"De 15 a 19 años (012)",16,11,,8,1,1,1,,,,5,17
"De 20 a 24 años (013)",50,46,1,32,10,3,,,,,4,61
"De 25 a 29 años (014)",85,72,,28,21,13,10,,,,13,150
"De 30 a 34 años (015)",115,109,1,29,22,29,21,5,2,,6,299
"De 35 a 39 años (016)",114,112,,13,21,23,42,13,,,2,386
"De 40 a 44 años (017)",90,88,,9,12,19,22,21,5,,2,365
"De 45 a 49 años (018)",45,44,,6,4,7,13,10,2,2,1,201
"De 50 y más años (019)",146,144,1,7,10,19,46,29,26,6,2,759
"Ocupada (020)",632,603,3,125,99,109,149,75,35,8,29,2167
"De 15 a 19 años (022)",14,11,,8,1,1,1,,,,3,17
"De 20 a 24 años (023)",44,42,1,28,10,3,,,,,2,57
