"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia DOS DE MAYO",,,,,,,,,
"Viviendas particulares (001)",350,188,49,11,45,12,13,11,21
"Ocupantes presentes (002)",1596,879,233,50,202,56,52,43,81
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",345,187,49,11,42,12,12,11,21
"Ocupantes presentes (005)",1579,878,233,50,188,56,50,43,81
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",1,1,,,,,,,
"Ocupantes presentes (011)",1,1,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",2,,,,2,,,,
"Ocupantes presentes (014)",9,,,,9,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2,,,,1,,1,,
"Ocupantes presentes (017)",7,,,,5,,2,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",274,155,28,8,38,10,12,8,15
"Ocupantes presentes (029)",1197,699,123,32,165,45,50,23,60
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",271,154,28,8,36,10,12,8,15
"Ocupantes presentes (032)",1187,698,123,32,156,45,50,23,60
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",1,1,,,,,,,
"Ocupantes presentes (038)",1,1,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",2,,,,2,,,,
"Ocupantes presentes (041)",9,,,,9,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",76,33,21,3,7,2,1,3,6
"Ocupantes presentes (056)",399,180,110,18,37,11,2,20,21
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",74,33,21,3,6,2,,3,6
"Ocupantes presentes (059)",392,180,110,18,32,11,,20,21
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2,,,,1,,1,,
"Ocupantes presentes (071)",7,,,,5,,2,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
