"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia MELGAR (000)",19992,8760,11232
"Red pública de desague dentro de la vivienda (001)",2936,2789,147
"Red pública de desague fuera de la vivienda (002)",2539,2407,132
"Pozo séptico (003)",1218,352,866
"Pozo ciego o negro / letrina (004)",6871,2244,4627
"Río, acequia o canal (005)",698,89,609
"No tiene (006)",5730,879,4851
,,,
"URBANA (008)",9531,7720,1811
"Red pública de desague dentro de la vivienda (009)",2917,2776,141
"Red pública de desague fuera de la vivienda (010)",2531,2402,129
"Pozo séptico (011)",392,269,123
"Pozo ciego o negro / letrina (012)",2078,1450,628
"Río, acequia o canal (013)",166,72,94
"No tiene (014)",1447,751,696
,,,
"RURAL (016)",10461,1040,9421
"Red pública de desague dentro de la vivienda (017)",19,13,6
"Red pública de desague fuera de la vivienda (018)",8,5,3
"Pozo séptico (019)",826,83,743
"Pozo ciego o negro / letrina (020)",4793,794,3999
"Río, acequia o canal (021)",532,17,515
"No tiene (022)",4283,128,4155
