"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia HUAYTARA",,,,,,,
"Viviendas particulares (001)",6777,358,131,50,827,107,5304
"Ocupantes presentes (002)",21756,1176,426,176,2918,365,16695
"Casa independiente",,,,,,,
"Viviendas particulares (004)",5504,331,108,50,693,82,4240
"Ocupantes presentes (005)",17146,1081,356,176,2374,267,12892
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",6,6,,,,,
"Ocupantes presentes (008)",24,24,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",18,8,6,,,,4
"Ocupantes presentes (011)",61,32,16,,,,13
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",34,11,17,,,,6
"Ocupantes presentes (014)",105,35,54,,,,16
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",1197,,,,132,25,1040
"Ocupantes presentes (017)",4387,,,,536,98,3753
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",3,,,,1,,2
"Ocupantes presentes (020)",5,,,,3,,2
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",11,2,,,,,9
"Ocupantes presentes (023)",18,4,,,,,14
"Otro tipo",,,,,,,
"Viviendas particulares (025)",4,,,,1,,3
"Ocupantes presentes (026)",10,,,,5,,5
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",1965,317,88,25,268,21,1246
"Ocupantes presentes (029)",6453,1059,261,111,889,83,4050
"Casa independiente",,,,,,,
"Viviendas particulares (031)",1901,290,65,25,267,21,1233
"Ocupantes presentes (032)",6253,964,191,111,886,83,4018
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",6,6,,,,,
"Ocupantes presentes (035)",24,24,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",18,8,6,,,,4
"Ocupantes presentes (038)",61,32,16,,,,13
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",34,11,17,,,,6
"Ocupantes presentes (041)",105,35,54,,,,16
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",3,,,,1,,2
"Ocupantes presentes (047)",5,,,,3,,2
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",2,2,,,,,
"Ocupantes presentes (050)",4,4,,,,,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",1,,,,,,1
"Ocupantes presentes (053)",1,,,,,,1
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",4812,41,43,25,559,86,4058
"Ocupantes presentes (056)",15303,117,165,65,2029,282,12645
"Casa independiente",,,,,,,
"Viviendas particulares (058)",3603,41,43,25,426,61,3007
"Ocupantes presentes (059)",10893,117,165,65,1488,184,8874
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",1197,,,,132,25,1040
"Ocupantes presentes (071)",4387,,,,536,98,3753
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",9,,,,,,9
"Ocupantes presentes (077)",14,,,,,,14
"Otro tipo",,,,,,,
"Viviendas particulares (079)",3,,,,1,,2
"Ocupantes presentes (080)",9,,,,5,,4
