"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ACOBAMBA (000)",1167,425,742
"Sin nivel (001)",97,25,72
"Educación inicial (002)",3,,3
"Primaria (003)",469,155,314
"Secundaria (004)",461,196,265
"Superior no univ. incompleta (005)",38,12,26
"Superior no univ. completa (006)",33,11,22
"Superior univ. incompleta (007)",18,10,8
"Superior univ. completa (008)",48,16,32
"De 14 a 29 años (010)",580,292,288
"Sin nivel (011)",16,6,10
"Educación inicial (012)",1,,1
"Primaria (013)",158,83,75
"Secundaria (014)",327,167,160
"Superior no univ. incompleta (015)",19,7,12
"Superior no univ. completa (016)",23,9,14
"Superior univ. incompleta (017)",15,10,5
"Superior univ. completa (018)",21,10,11
"De 30 a 44 años (020)",354,112,242
"Sin nivel (021)",28,14,14
"Educación inicial (022)",2,,2
"Primaria (023)",174,60,114
"Secundaria (024)",103,26,77
"Superior no univ. incompleta (025)",13,4,9
"Superior no univ. completa (026)",9,2,7
"Superior univ. incompleta (027)",2,,2
"Superior univ. completa (028)",23,6,17
"De 45 a 64 años (030)",178,21,157
"Sin nivel (031)",35,5,30
"Primaria (033)",106,12,94
"Secundaria (034)",25,3,22
"Superior no univ. incompleta (035)",6,1,5
"Superior no univ. completa (036)",1,,1
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",4,,4
"De 65 y más años (040)",55,,55
"Sin nivel (041)",18,,18
"Primaria (043)",31,,31
"Secundaria (044)",6,,6
,,,
"AREA URBANA (050)",581,158,423
"Sin nivel (051)",34,7,27
"Educación inicial (052)",2,,2
"Primaria (053)",196,36,160
"Secundaria (054)",242,77,165
"Superior no univ. incompleta (055)",29,9,20
"Superior no univ. completa (056)",23,8,15
"Superior univ. incompleta (057)",16,10,6
"Superior univ. completa (058)",39,11,28
"De 14 a 29 años (060)",257,101,156
"Sin nivel (061)",6,1,5
"Primaria (063)",39,11,28
"Secundaria (064)",156,62,94
"Superior no univ. incompleta (065)",12,4,8
"Superior no univ. completa (066)",14,6,8
"Superior univ. incompleta (067)",13,10,3
"Superior univ. completa (068)",17,7,10
"De 30 a 44 años (070)",198,47,151
"Sin nivel (071)",11,5,6
"Educación inicial (072)",2,,2
"Primaria (073)",81,18,63
"Secundaria (074)",64,14,50
"Superior no univ. incompleta (075)",12,4,8
"Superior no univ. completa (076)",8,2,6
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",18,4,14
"De 45 a 64 años (080)",97,10,87
"Sin nivel (081)",12,1,11
"Primaria (083)",58,7,51
"Secundaria (084)",16,1,15
"Superior no univ. incompleta (085)",5,1,4
"Superior no univ. completa (086)",1,,1
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",4,,4
"De 65 y más años (090)",29,,29
"Sin nivel (091)",5,,5
"Primaria (093)",18,,18
"Secundaria (094)",6,,6
,,,
"AREA RURAL (100)",586,267,319
"Sin nivel (101)",63,18,45
"Educación inicial (102)",1,,1
"Primaria (103)",273,119,154
"Secundaria (104)",219,119,100
"Superior no univ. incompleta (105)",9,3,6
"Superior no univ. completa (106)",10,3,7
"Superior univ. incompleta (107)",2,,2
"Superior univ. completa (108)",9,5,4
"De 14 a 29 años (110)",323,191,132
"Sin nivel (111)",10,5,5
"Educación inicial (112)",1,,1
"Primaria (113)",119,72,47
"Secundaria (114)",171,105,66
"Superior no univ. incompleta (115)",7,3,4
"Superior no univ. completa (116)",9,3,6
"Superior univ. incompleta (117)",2,,2
"Superior univ. completa (118)",4,3,1
"De 30 a 44 años (120)",156,65,91
"Sin nivel (121)",17,9,8
"Primaria (123)",93,42,51
"Secundaria (124)",39,12,27
"Superior no univ. incompleta (125)",1,,1
"Superior no univ. completa (126)",1,,1
"Superior univ. completa (128)",5,2,3
"De 45 a 64 años (130)",81,11,70
"Sin nivel (131)",23,4,19
"Primaria (133)",48,5,43
"Secundaria (134)",9,2,7
"Superior no univ. incompleta (135)",1,,1
"De 65 y más años (140)",26,,26
"Sin nivel (141)",13,,13
"Primaria (143)",13,,13
