"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia QUISPICANCHI (000)",20320,256,7535,6533,1765,521,268,118,21,,3303
"Sin Nivel (001)",7434,125,2626,2501,612,223,126,74,14,,1133
"Educación Inicial (002)",46,1,21,12,2,1,,,,,9
"Primaria (003)",8208,105,3575,2544,568,151,90,36,4,,1135
"Secundaria (004)",3228,20,1176,1099,281,74,29,6,,,543
"Sup. no Univ. Incompleta (005)",347,1,45,125,57,5,3,1,1,,109
"Sup. no Univ. Completa (006)",461,1,43,116,120,28,5,1,1,,146
"Sup. Univ. Incompleta (007)",204,1,23,49,27,9,2,,,,93
"Sup. Univ. Completa (008)",392,2,26,87,98,30,13,,1,,135
,,,,,,,,,,,
"URBANA (010)",7731,92,2585,2402,880,257,135,43,9,,1328
"Sin Nivel (011)",1433,29,464,421,151,60,39,17,5,,247
"Educación Inicial (012)",10,,5,3,1,,,,,,1
"Primaria (013)",2804,44,1182,865,237,77,48,20,2,,329
"Secundaria (014)",2268,15,821,781,220,60,26,5,,,340
"Sup. no Univ. Incompleta (015)",298,1,38,108,51,4,3,,1,,92
"Sup. no Univ. Completa (016)",395,1,35,99,107,25,5,1,1,,121
"Sup. Univ. Incompleta (017)",183,1,20,44,26,6,2,,,,84
"Sup. Univ. Completa (018)",340,1,20,81,87,25,12,,,,114
,,,,,,,,,,,
"RURAL (020)",12589,164,4950,4131,885,264,133,75,12,,1975
"Sin Nivel (021)",6001,96,2162,2080,461,163,87,57,9,,886
"Educación Inicial (022)",36,1,16,9,1,1,,,,,8
"Primaria (023)",5404,61,2393,1679,331,74,42,16,2,,806
"Secundaria (024)",960,5,355,318,61,14,3,1,,,203
"Sup. no Univ. Incompleta (025)",49,,7,17,6,1,,1,,,17
"Sup. no Univ. Completa (026)",66,,8,17,13,3,,,,,25
"Sup. Univ. Incompleta (027)",21,,3,5,1,3,,,,,9
"Sup. Univ. Completa (028)",52,1,6,6,11,5,1,,1,,21
