"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CUSCO (000)",339090,24307,8854,76606,113978,22530,23628,29193,39994
"Jefe o Jefa (001)",95385,3100,51,14540,35221,6855,9145,8954,17519
"Esposa(o)/ compa¤era(o) (002)",54181,2872,48,10792,19793,3543,5436,3483,8214
"Hijo(a)/ hijastro(a) (003)",128083,12280,6915,36685,36965,7845,5611,12107,9675
"Yerno/ nuera (004)",4685,27,4,214,1777,549,704,468,942
"Nieto(a) (005)",11029,2072,1168,4094,2358,354,197,568,218
"Padres/ suegros (006)",5184,1748,,1837,1054,55,154,75,261
"Otro(a) pariente (007)",26479,1604,515,5613,10555,2134,1528,2416,2114
"Trabajador(a) del hogar (008)",2335,69,20,721,1313,119,63,15,15
"Pensionista (009)",547,8,2,51,276,66,39,69,36
"Otro(a) no pariente (010)",11182,527,131,2059,4666,1010,751,1038,1000
"Hombres (012)",162893,9282,4443,34359,57931,10765,10240,16110,19763
"Jefe o Jefa (013)",63793,825,26,8617,25039,4516,5785,6432,12553
"Esposa(o)/ compa¤era(o) (014)",5570,91,4,607,2350,479,541,653,845
"Hijo(a)/ hijastro(a) (015)",64696,6211,3492,18701,19590,3735,2411,6461,4095
"Yerno/ nuera (016)",2336,16,,70,842,245,332,271,560
"Nieto(a) (017)",5697,1092,615,2113,1235,175,89,285,93
"Padres/ suegros (018)",1462,222,,661,376,20,44,35,104
"Otro(a) pariente (019)",13272,619,256,2588,5683,1075,697,1349,1005
"Trabajador(a) del hogar (020)",200,4,,61,121,8,2,2,2
"Pensionista (021)",294,1,1,30,156,32,14,39,21
"Otro(a) no pariente (022)",5573,201,49,911,2539,480,325,583,485
"Mujeres (024)",176197,15025,4411,42247,56047,11765,13388,13083,20231
"Jefe o Jefa (025)",31592,2275,25,5923,10182,2339,3360,2522,4966
"Esposa(o)/ compa¤era(o) (026)",48611,2781,44,10185,17443,3064,4895,2830,7369
"Hijo(a)/ hijastro(a) (027)",63387,6069,3423,17984,17375,4110,3200,5646,5580
"Yerno/ nuera (028)",2349,11,4,144,935,304,372,197,382
"Nieto(a) (029)",5332,980,553,1981,1123,179,108,283,125
"Padres/ suegros (030)",3722,1526,,1176,678,35,110,40,157
"Otro(a) pariente (031)",13207,985,259,3025,4872,1059,831,1067,1109
"Trabajador(a) del hogar (032)",2135,65,20,660,1192,111,61,13,13
"Pensionista (033)",253,7,1,21,120,34,25,30,15
"Otro(a) no pariente (034)",5609,326,82,1148,2127,530,426,455,515
,,,,,,,,,
"URBANA (036)",324098,21785,8351,69940,109621,22154,23406,29001,39840
"Jefe o Jefa (037)",91439,2493,46,12819,33892,6773,9067,8908,17441
"Esposa(o)/ compa¤era(o) (038)",51436,2250,40,9445,19177,3492,5389,3462,8181
"Hijo(a)/ hijastro(a) (039)",121180,11388,6463,33579,34944,7631,5534,12001,9640
"Yerno/ nuera (040)",4552,24,4,182,1699,538,697,466,942
"Nieto(a) (041)",10808,2020,1147,3989,2323,351,193,567,218
