"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SECHURA (000)",47,47,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",12,12,
"Casa pensión (003)",6,6,
"Hospital, clinica (004)",2,2,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",22,22,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",4,4,
