"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia MARISCAL RAMON CASTILLA",,,,,,
"Viviendas particulares (001)",9965,9860,89,15,1,
"Ocupantes presentes (002)",52872,51801,846,213,12,
"Casa independiente",,,,,,
"Viviendas particulares (004)",5953,5865,74,13,1,
"Ocupantes presentes (005)",32623,31715,712,184,12,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",2,2,,,,
"Ocupantes presentes (008)",7,7,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",115,109,6,,,
"Ocupantes presentes (011)",386,337,49,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",8,8,,,,
"Ocupantes presentes (014)",30,30,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",3854,3843,9,2,,
"Ocupantes presentes (017)",19681,19567,85,29,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",22,22,,,,
"Ocupantes presentes (020)",91,91,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",8,8,,,,
"Ocupantes presentes (023)",47,47,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",3,3,,,,
"Ocupantes presentes (026)",7,7,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",2812,2731,67,13,1,
"Ocupantes presentes (029)",15007,14188,623,184,12,
"Casa independiente",,,,,,
"Viviendas particulares (031)",2657,2582,61,13,1,
"Ocupantes presentes (032)",14466,13696,574,184,12,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",2,2,,,,
"Ocupantes presentes (035)",7,7,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",115,109,6,,,
"Ocupantes presentes (038)",386,337,49,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",8,8,,,,
"Ocupantes presentes (041)",30,30,,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",22,22,,,,
"Ocupantes presentes (047)",91,91,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",6,6,,,,
"Ocupantes presentes (050)",22,22,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",2,2,,,,
"Ocupantes presentes (053)",5,5,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",7153,7129,22,2,,
"Ocupantes presentes (056)",37865,37613,223,29,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",3296,3283,13,,,
"Ocupantes presentes (059)",18157,18019,138,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",3854,3843,9,2,,
"Ocupantes presentes (071)",19681,19567,85,29,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",2,2,,,,
"Ocupantes presentes (077)",25,25,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",1,1,,,,
"Ocupantes presentes (080)",2,2,,,,
