"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",12144,110,3920,3854,1206,431,203,67,7,,2346
"Catolica (001)",9103,71,2769,2893,908,325,159,45,6,,1927
"Cristiana / Evangelica (002)",2935,39,1114,930,290,103,41,21,1,,396
"Otra (003)",53,,18,16,5,3,2,,,,9
"Ninguna (004)",53,,19,15,3,,1,1,,,14
,,,,,,,,,,,
"URBANA (006)",7443,66,2265,2282,791,276,143,44,4,,1572
"Catolica (007)",5821,44,1692,1774,625,221,109,31,4,,1321
"Cristiana / Evangelica (008)",1544,22,547,482,160,54,31,12,,,236
"Otra (009)",35,,11,13,3,1,2,,,,5
"Ninguna (010)",43,,15,13,3,,1,1,,,10
,,,,,,,,,,,
"RURAL (012)",4701,44,1655,1572,415,155,60,23,3,,774
"Catolica (013)",3282,27,1077,1119,283,104,50,14,2,,606
"Cristiana / Evangelica (014)",1391,17,567,448,130,49,10,9,1,,160
"Otra (015)",18,,7,3,2,2,,,,,4
"Ninguna (016)",10,,4,2,,,,,,,4
