"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LAURICOCHA (000)",9358,234,2759,3317,2316,732
"Empleado (001)",1096,2,311,471,300,12
"Obrero (002)",1991,19,756,807,354,55
"Trabajador independiente (003)",4447,7,971,1597,1318,554
"Empleador o patrono (004)",76,,18,24,29,5
"Trabajador familiar no remunerado (005)",1624,204,659,375,286,100
"Trabajador del hogar (006)",124,2,44,43,29,6
"Hombres (008)",7062,144,2055,2553,1757,553
"Empleado (009)",759,2,197,309,242,9
"Obrero (010)",1830,16,683,762,321,48
"Trabajador independiente (011)",3566,4,749,1307,1065,441
"Empleador o patrono (012)",65,,13,20,27,5
"Trabajador familiar no remunerado (013)",827,121,408,150,98,50
"Trabajador del hogar (014)",15,1,5,5,4,
"Mujeres (016)",2296,90,704,764,559,179
"Empleado (017)",337,,114,162,58,3
"Obrero (018)",161,3,73,45,33,7
"Trabajador independiente (019)",881,3,222,290,253,113
"Empleador o patrono (020)",11,,5,4,2,
"Trabajador familiar no remunerado (021)",797,83,251,225,188,50
"Trabajador del hogar (022)",109,1,39,38,25,6
,,,,,,
"URBANA (024)",2146,63,583,794,546,160
"Empleado (025)",529,2,123,239,161,4
"Obrero (026)",212,5,86,70,41,10
"Trabajador independiente (027)",1004,4,228,376,271,125
"Empleador o patrono (028)",11,,4,5,2,
"Trabajador familiar no remunerado (029)",341,51,125,87,59,19
"Trabajador del hogar (030)",49,1,17,17,12,2
"Hombres (032)",1372,36,361,499,361,115
"Empleado (033)",330,2,66,140,118,4
"Obrero (034)",188,4,78,61,36,9
"Trabajador independiente (035)",697,3,146,265,191,92
"Empleador o patrono (036)",9,,3,4,2,
"Trabajador familiar no remunerado (037)",141,27,66,26,12,10
"Trabajador del hogar (038)",7,,2,3,2,
"Mujeres (040)",774,27,222,295,185,45
"Empleado (041)",199,,57,99,43,
"Obrero (042)",24,1,8,9,5,1
"Trabajador independiente (043)",307,1,82,111,80,33
"Empleador o patrono (044)",2,,1,1,,
"Trabajador familiar no remunerado (045)",200,24,59,61,47,9
"Trabajador del hogar (046)",42,1,15,14,10,2
,,,,,,
"RURAL (048)",7212,171,2176,2523,1770,572
"Empleado (049)",567,,188,232,139,8
"Obrero (050)",1779,14,670,737,313,45
"Trabajador independiente (051)",3443,3,743,1221,1047,429
"Empleador o patrono (052)",65,,14,19,27,5
"Trabajador familiar no remunerado (053)",1283,153,534,288,227,81
"Trabajador del hogar (054)",75,1,27,26,17,4
"Hombres (056)",5690,108,1694,2054,1396,438
"Empleado (057)",429,,131,169,124,5
"Obrero (058)",1642,12,605,701,285,39
"Trabajador independiente (059)",2869,1,603,1042,874,349
"Empleador o patrono (060)",56,,10,16,25,5
"Trabajador familiar no remunerado (061)",686,94,342,124,86,40
"Trabajador del hogar (062)",8,1,3,2,2,
"Mujeres (064)",1522,63,482,469,374,134
"Empleado (065)",138,,57,63,15,3
"Obrero (066)",137,2,65,36,28,6
"Trabajador independiente (067)",574,2,140,179,173,80
"Empleador o patrono (068)",9,,4,3,2,
"Trabajador familiar no remunerado (069)",597,59,192,164,141,41
"Trabajador del hogar (070)",67,,24,24,15,4
