"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia PARINACOCHAS (000)",21903,3481,3748,3901,3490,2440,4843
"Católica (001)",19848,3184,3359,3486,3143,2228,4448
"Cristiana/Evangélica (002)",1324,190,219,247,230,148,290
"Otra (003)",422,58,81,95,74,42,72
"Ninguna (004)",309,49,89,73,43,22,33
"Hombres (006)",11007,1756,1954,2035,1818,1230,2214
"Católica (007)",9956,1607,1736,1803,1638,1138,2034
"Cristiana/Evangélica (008)",630,90,113,126,114,56,131
"Otra (009)",219,32,46,52,36,21,32
"Ninguna (010)",202,27,59,54,30,15,17
"Mujeres (012)",10896,1725,1794,1866,1672,1210,2629
"Católica (013)",9892,1577,1623,1683,1505,1090,2414
"Cristiana/Evangélica (014)",694,100,106,121,116,92,159
"Otra (015)",203,26,35,43,38,21,40
"Ninguna (016)",107,22,30,19,13,7,16
,,,,,,,
"URBANA (018)",12707,2130,2295,2334,2143,1403,2402
"Católica (019)",11834,2002,2108,2146,2006,1316,2256
"Cristiana/Evangélica (020)",487,71,90,90,76,57,103
"Otra (021)",200,28,36,52,35,18,31
"Ninguna (022)",186,29,61,46,26,12,12
"Hombres (024)",6245,1074,1167,1143,1079,700,1082
"Católica (025)",5782,1008,1056,1041,1007,662,1008
"Cristiana/Evangélica (026)",234,33,50,41,37,20,53
"Otra (027)",104,16,21,28,16,9,14
"Ninguna (028)",125,17,40,33,19,9,7
"Mujeres (030)",6462,1056,1128,1191,1064,703,1320
"Católica (031)",6052,994,1052,1105,999,654,1248
"Cristiana/Evangélica (032)",253,38,40,49,39,37,50
"Otra (033)",96,12,15,24,19,9,17
"Ninguna (034)",61,12,21,13,7,3,5
,,,,,,,
"RURAL (036)",9196,1351,1453,1567,1347,1037,2441
"Católica (037)",8014,1182,1251,1340,1137,912,2192
"Cristiana/Evangélica (038)",837,119,129,157,154,91,187
"Otra (039)",222,30,45,43,39,24,41
"Ninguna (040)",123,20,28,27,17,10,21
"Hombres (042)",4762,682,787,892,739,530,1132
"Católica (043)",4174,599,680,762,631,476,1026
"Cristiana/Evangélica (044)",396,57,63,85,77,36,78
"Otra (045)",115,16,25,24,20,12,18
"Ninguna (046)",77,10,19,21,11,6,10
"Mujeres (048)",4434,669,666,675,608,507,1309
"Católica (049)",3840,583,571,578,506,436,1166
"Cristiana/Evangélica (050)",441,62,66,72,77,55,109
"Otra (051)",107,14,20,19,19,12,23
"Ninguna (052)",46,10,9,6,6,4,11
